date,open,high,low,close,volume
2025-04-27,1065.74,1078.39,1063.7,1077.29,997977
2025-04-28,1072.93,1075.5,1040.32,1043.24,1338044
2025-04-29,1040.05,1041.64,1031.31,1034.8,951155
2025-04-30,1037.42,1049.12,1036.0,1045.58,1082591
2025-05-01,1044.64,1070.1,1043.16,1069.91,1454788
2025-05-02,1067.96,1083.22,1066.98,1082.74,994923
2025-05-03,1079.41,1111.78,1076.91,1110.04,1205666
2025-05-04,1108.56,1113.43,1100.0,1102.12,1213967
2025-05-05,1094.3,1101.36,1090.51,1098.75,1082038
2025-05-06,1094.53,1097.32,1051.18,1058.09,1235310
2025-05-07,1050.36,1071.84,1048.46,1069.0,990388
2025-05-08,1063.21,1090.65,1059.49,1086.81,1091018
2025-05-09,1083.78,1084.14,1075.72,1079.46,1250094
2025-05-10,1079.32,1082.42,1078.67,1080.93,963278
2025-05-11,1075.8,1079.48,1075.75,1076.21,977473
2025-05-12,1074.16,1074.22,1062.81,1063.27,1322010
2025-05-13,1066.19,1079.98,1063.45,1076.5,1016015
2025-05-14,1082.75,1084.85,1064.09,1064.53,1064927
2025-05-15,1066.57,1070.66,1047.79,1051.78,1171464
2025-05-16,1049.5,1075.09,1046.61,1070.62,1375068
2025-05-17,1072.98,1116.59,1070.13,1113.31,1440902
2025-05-18,1122.4,1123.36,1090.1,1094.41,1373186
2025-05-19,1096.43,1104.23,1094.0,1103.92,1227585
2025-05-20,1106.34,1121.82,1101.42,1117.91,981587
2025-05-21,1121.47,1133.01,1121.17,1128.07,955453
2025-05-22,1126.64,1128.95,1113.56,1116.7,915125
2025-05-23,1114.87,1127.13,1108.7,1122.21,1190190
2025-05-24,1132.27,1132.45,1061.81,1066.07,1700576
2025-05-25,1071.34,1077.28,1061.16,1065.23,941612
2025-05-26,1070.07,1072.96,1037.0,1040.8,990049
2025-05-27,1038.29,1041.67,1031.89,1036.53,1093443
2025-05-28,1034.01,1035.88,1019.76,1021.73,1286064
2025-05-29,1028.24,1028.61,981.8,982.8,1363002
2025-05-30,978.97,1012.75,978.01,1012.27,1527852
2025-05-31,1020.86,1025.44,1019.52,1022.19,1270277
2025-06-01,1027.97,1029.64,1022.91,1024.12,821218
2025-06-02,1026.25,1028.19,1010.54,1011.72,984978
2025-06-03,1016.03,1033.13,1014.54,1029.29,1013466
2025-06-04,1034.08,1049.27,1032.58,1046.02,1198746
2025-06-05,1043.63,1047.18,1025.24,1028.26,1135208
2025-06-06,1044.25,1064.74,1042.63,1064.28,1401667
2025-06-07,1063.97,1080.96,1059.74,1079.88,927109
2025-06-08,1083.06,1092.96,1081.67,1088.35,1024408
2025-06-09,1094.29,1104.31,1072.38,1072.83,1320866
2025-06-10,1070.11,1074.12,1043.36,1043.64,1476507
2025-06-11,1041.05,1056.3,1039.27,1053.41,1043910
2025-06-12,1066.32,1073.98,1064.21,1072.18,1106101
2025-06-13,1073.3,1085.77,1071.85,1082.91,994620
2025-06-14,1080.78,1105.56,1075.6,1101.86,1395659
2025-06-15,1102.94,1104.4,1077.05,1078.15,1297629
2025-06-16,1066.52,1067.59,1062.92,1066.38,894548
2025-06-17,1063.4,1102.61,1063.03,1102.18,1380436
2025-06-18,1117.72,1120.98,1093.1,1093.16,989678
2025-06-19,1092.5,1100.02,1079.55,1082.5,1068382
2025-06-20,1080.78,1081.08,1074.85,1080.43,828153
2025-06-21,1081.83,1102.6,1080.46,1100.45,1151418
2025-06-22,1095.29,1141.32,1091.68,1137.31,1419834
2025-06-23,1129.3,1137.31,1104.85,1107.37,1304628
2025-06-24,1109.62,1112.69,1055.6,1059.8,1191548
2025-06-25,1071.75,1075.43,1029.41,1034.32,1380158
2025-06-26,1034.69,1035.75,1022.47,1024.4,1299540
2025-06-27,1021.38,1023.59,1012.92,1018.94,1005472
2025-06-28,1028.08,1037.56,1027.6,1034.03,1199071
2025-06-29,1033.53,1038.48,1032.58,1036.54,854685
2025-06-30,1039.98,1071.92,1036.79,1068.88,1306345
2025-07-01,1059.86,1071.5,1056.53,1069.02,1120201
2025-07-02,1066.72,1090.06,1065.15,1085.9,1086172
2025-07-03,1097.05,1097.99,1083.2,1083.86,1145475
2025-07-04,1084.41,1114.69,1082.94,1113.0,1384985
2025-07-05,1104.64,1131.58,1097.8,1129.83,1031078
2025-07-06,1125.26,1183.95,1118.93,1183.89,1596750
2025-07-07,1182.83,1189.99,1156.37,1161.74,1209199
2025-07-08,1159.67,1160.94,1139.5,1140.87,1247717
2025-07-09,1138.48,1140.63,1133.47,1136.39,1175313
2025-07-10,1143.52,1149.08,1139.78,1145.71,1251947
2025-07-11,1150.42,1156.05,1129.22,1133.41,926282
2025-07-12,1133.06,1185.94,1131.25,1185.59,1233656
2025-07-13,1177.68,1200.11,1173.59,1199.63,969701
2025-07-14,1195.08,1251.65,1188.86,1250.9,1178637
2025-07-15,1251.33,1282.37,1249.31,1282.31,1472249
2025-07-16,1268.52,1320.9,1267.71,1320.76,1070065
2025-07-17,1329.12,1330.9,1299.69,1299.87,1358046
2025-07-18,1294.38,1303.9,1290.27,1300.85,1109488
2025-07-19,1298.95,1312.82,1297.64,1311.08,887996
2025-07-20,1309.94,1313.06,1308.73,1309.11,1116701
2025-07-21,1316.5,1329.22,1315.84,1326.63,1326052
2025-07-22,1333.87,1335.18,1302.53,1303.2,1141732
2025-07-23,1303.93,1305.72,1280.89,1283.9,1032278
2025-07-24,1291.59,1294.37,1266.93,1270.44,1141494
2025-07-25,1285.49,1286.18,1261.68,1263.05,1267283
