date,open,high,low,close,volume
2025-04-27,15545.94,15921.94,15529.1,15915.76,1434273
2025-04-28,15992.16,16016.67,15400.42,15487.86,1391434
2025-04-29,15451.58,15594.2,15446.93,15587.93,1224756
2025-04-30,15629.14,15988.26,15583.29,15980.84,1071247
2025-05-01,16038.81,16375.24,15991.26,16357.68,1379620
2025-05-02,16318.02,16588.5,16311.93,16573.95,1088932
2025-05-03,16456.49,16655.23,16416.56,16614.77,938318
2025-05-04,16547.29,17155.53,16497.81,17108.86,1131090
2025-05-05,17107.27,17121.29,16836.26,16959.74,945955
2025-05-06,16924.22,16933.23,16485.49,16551.09,1211653
2025-05-07,16460.69,16902.62,16367.92,16864.02,1091677
2025-05-08,16868.6,16904.34,16248.7,16249.63,1280955
2025-05-09,16188.38,16703.07,16159.79,16692.25,1346773
2025-05-10,16691.4,16785.6,16609.79,16752.58,1098852
2025-05-11,16861.59,16869.54,16725.46,16822.46,1227051
2025-05-12,16715.2,17023.73,16574.8,16973.86,1263092
2025-05-13,16983.65,17129.14,16979.04,17108.95,1132704
2025-05-14,17034.42,17720.12,16987.26,17660.22,1175237
2025-05-15,17625.83,17644.48,17344.12,17344.16,984574
2025-05-16,17322.41,17484.4,17297.09,17482.09,1041182
2025-05-17,17503.92,17516.94,17263.4,17307.85,1082625
2025-05-18,17358.09,17403.93,16714.82,16781.7,1236825
2025-05-19,16792.42,17328.4,16688.41,17214.7,1448419
2025-05-20,17304.14,17307.85,17194.14,17201.43,1178266
2025-05-21,17220.79,17264.75,16838.04,16978.07,964165
2025-05-22,17146.71,17160.8,16508.36,16555.24,1239636
2025-05-23,16676.33,16684.82,16558.0,16608.86,996760
2025-05-24,16587.61,16637.29,16298.2,16328.53,1109880
2025-05-25,16389.41,16472.85,16043.09,16054.24,1334750
2025-05-26,16077.35,16408.15,15956.32,16407.92,1279787
2025-05-27,16309.99,16361.57,15996.02,16012.35,1163744
2025-05-28,16019.79,16083.03,15750.26,15764.25,1376490
2025-05-29,15824.58,15846.64,15750.02,15754.09,813205
2025-05-30,15861.55,15893.12,15496.72,15529.57,1221437
2025-05-31,15606.88,15616.65,14886.34,14957.65,1414646
2025-06-01,14970.06,15110.41,14935.48,15037.53,910236
2025-06-02,14988.67,15039.25,14968.31,15016.76,877189
2025-06-03,15008.01,15023.25,14492.38,14507.21,1468364
2025-06-04,14491.96,14535.78,14286.43,14289.13,985398
2025-06-05,14188.05,14230.09,14094.39,14117.9,1217780
2025-06-06,14182.52,14658.97,14163.52,14588.56,1216649
2025-06-07,14538.77,14913.69,14519.35,14910.95,1119454
2025-06-08,14924.55,15037.75,14840.03,14849.99,900105
2025-06-09,14745.59,14796.86,14439.92,14442.32,1359027
2025-06-10,14422.17,14493.64,14305.15,14315.0,892726
2025-06-11,14396.43,15039.5,14360.96,15026.99,1750723
2025-06-12,14994.92,15009.16,14810.46,14813.78,977428
2025-06-13,14840.33,14869.83,14553.1,14590.63,1231940
2025-06-14,14540.05,14596.85,14489.26,14523.59,1176190
2025-06-15,14535.8,14894.7,14502.38,14880.68,1222700
2025-06-16,14965.66,14974.63,14288.35,14369.96,1131756
2025-06-17,14306.95,14343.4,14122.6,14133.83,1155013
2025-06-18,14052.54,14136.23,13990.26,14080.13,1180682
2025-06-19,14028.84,14060.14,13856.72,13879.4,1368333
2025-06-20,13856.27,13990.83,13831.43,13975.22,1073329
2025-06-21,13889.29,13907.41,13653.41,13657.59,1179049
2025-06-22,13598.7,13783.88,13530.28,13775.63,923738
2025-06-23,13832.79,13849.1,13584.28,13635.18,1130803
2025-06-24,13723.14,13759.21,13702.48,13753.63,1269479
2025-06-25,13709.32,13778.48,13682.33,13764.75,839434
2025-06-26,13814.91,13828.1,13574.41,13588.39,1336292
2025-06-27,13730.38,14105.08,13718.46,14059.49,1478794
2025-06-28,14070.91,14085.92,13843.67,13859.99,1002338
2025-06-29,13929.08,13942.51,13885.33,13919.05,1243089
2025-06-30,13924.62,14404.94,13910.38,14399.43,1164778
2025-07-01,14378.71,14597.75,14372.04,14588.23,936020
2025-07-02,14593.01,14962.48,14572.55,14924.23,1112731
2025-07-03,14842.55,15036.85,14810.17,15033.9,1188219
2025-07-04,14952.86,15025.37,14886.32,14950.8,880883
2025-07-05,14991.72,15281.37,14967.84,15209.03,968406
2025-07-06,15166.58,15197.34,15055.19,15084.18,973932
2025-07-07,15067.29,15088.58,14816.46,14838.3,979777
2025-07-08,14911.3,15139.11,14812.55,15133.33,1374870
2025-07-09,15228.41,15248.27,15145.33,15184.86,1230961
2025-07-10,15105.41,15140.72,15080.77,15112.32,1045114
2025-07-11,15154.35,15512.55,15148.91,15507.16,1311364
2025-07-12,15452.19,15454.91,15418.68,15445.13,1070440
2025-07-13,15392.26,15427.65,15353.7,15387.09,1072826
2025-07-14,15346.14,15434.7,15303.75,15321.71,1092822
2025-07-15,15203.0,15506.07,15200.84,15477.31,1162659
2025-07-16,15332.26,15365.13,15088.27,15135.44,1239512
2025-07-17,15114.49,15136.96,14849.31,14870.82,1354065
2025-07-18,14902.48,14970.71,14807.9,14953.04,1145524
2025-07-19,15047.52,15659.78,15024.54,15631.64,1416979
2025-07-20,15670.47,15714.85,15452.77,15475.58,1135783
2025-07-21,15449.61,15469.51,15400.73,15401.54,1058752
2025-07-22,15477.67,15482.83,15098.82,15120.61,1260276
2025-07-23,15139.73,15139.98,14534.76,14660.65,1151558
2025-07-24,14618.25,14781.39,14601.17,14753.36,1257314
2025-07-25,14700.31,14887.63,14621.99,14881.04,1192791
