date,open,high,low,close,volume
2025-04-27,6421.95,6468.81,6419.04,6444.54,1025327
2025-04-28,6439.32,6590.99,6431.38,6572.3,1193599
2025-04-29,6553.26,6556.82,6551.42,6551.9,919442
2025-04-30,6564.12,6585.13,6359.04,6361.4,1459854
2025-05-01,6380.27,6517.61,6368.79,6510.06,1043341
2025-05-02,6515.8,6756.58,6510.89,6752.73,1120533
2025-05-03,6743.19,6970.16,6731.82,6959.67,1318602
2025-05-04,7029.61,7052.43,6844.19,6873.04,1285039
2025-05-05,6901.37,6991.07,6882.87,6982.39,1091353
2025-05-06,6959.4,6964.55,6898.0,6901.07,964347
2025-05-07,6893.74,7074.24,6860.95,7041.41,1249363
2025-05-08,7044.34,7150.81,7035.14,7093.63,866879
2025-05-09,7057.57,7127.71,7052.17,7111.71,976447
2025-05-10,7079.85,7108.74,6898.24,6917.48,1082950
2025-05-11,6993.81,7019.95,6751.57,6760.3,1176738
2025-05-12,6869.87,6900.52,6648.72,6667.88,973494
2025-05-13,6632.1,6803.61,6619.19,6797.85,1236219
2025-05-14,6838.9,7082.24,6831.29,7063.56,1470662
2025-05-15,7052.99,7078.41,6973.1,6975.57,977842
2025-05-16,6963.06,7149.77,6904.09,7135.56,1381298
2025-05-17,7140.62,7159.27,7007.2,7069.46,987218
2025-05-18,7102.97,7105.6,6928.52,6948.59,1374862
2025-05-19,6971.81,6978.01,6570.33,6591.78,1742189
2025-05-20,6661.44,6723.35,6652.53,6703.06,1066652
2025-05-21,6706.05,6735.13,6532.21,6554.43,1077690
2025-05-22,6536.44,6795.23,6520.01,6769.97,1425747
2025-05-23,6745.27,6836.55,6729.72,6823.4,1207794
2025-05-24,6842.81,6849.1,6616.35,6624.06,1375487
2025-05-25,6648.25,6650.83,6592.72,6601.47,916718
2025-05-26,6568.9,6637.91,6536.09,6633.0,1002955
2025-05-27,6620.85,6645.74,6597.9,6612.27,969876
2025-05-28,6613.58,6626.11,6511.34,6524.34,981417
2025-05-29,6483.98,6705.09,6459.47,6686.4,1135724
2025-05-30,6651.39,6828.0,6645.24,6827.81,1294232
2025-05-31,6813.25,7064.49,6788.05,7055.53,1331846
2025-06-01,7013.33,7061.51,6993.33,7061.27,1133130
2025-06-02,7032.18,7236.31,7020.47,7223.88,1466900
2025-06-03,7233.13,7288.96,6993.02,7005.24,1371544
2025-06-04,7148.15,7169.63,7139.63,7158.32,1289742
2025-06-05,7131.79,7230.95,7116.76,7208.3,986289
2025-06-06,7201.72,7417.21,7192.55,7391.95,1340766
2025-06-07,7462.54,7550.36,7423.57,7541.5,1009702
2025-06-08,7543.05,7583.26,7400.64,7407.01,1232228
2025-06-09,7394.79,7437.78,7387.98,7436.79,1131831
2025-06-10,7446.08,7499.79,7419.14,7475.32,867310
2025-06-11,7527.48,7566.24,7462.28,7496.94,1156440
2025-06-12,7512.26,7736.01,7480.55,7724.83,1094696
2025-06-13,7724.18,7952.2,7693.2,7928.34,1082118
2025-06-14,7866.78,8129.09,7849.54,8122.99,1129442
2025-06-15,8121.54,8146.89,7818.49,7834.83,1413730
2025-06-16,7835.74,7851.37,7655.84,7658.56,1225856
2025-06-17,7703.41,7718.87,7605.16,7611.73,958219
2025-06-18,7666.92,7755.19,7617.52,7732.92,1316149
2025-06-19,7720.98,7797.18,7719.89,7791.84,1230561
2025-06-20,7753.62,7755.49,7567.93,7608.27,1064939
2025-06-21,7578.0,7733.59,7566.94,7731.52,1346003
2025-06-22,7676.53,7696.25,7376.04,7395.51,1175209
2025-06-23,7401.13,7656.57,7396.42,7655.31,1534500
2025-06-24,7716.25,7716.41,7643.64,7665.15,1137636
2025-06-25,7660.57,7672.77,7565.39,7580.44,939491
2025-06-26,7618.26,7643.4,7248.31,7251.06,1176484
2025-06-27,7214.0,7291.86,7198.92,7260.82,1045730
2025-06-28,7220.07,7263.62,7213.67,7241.78,1098954
2025-06-29,7262.92,7300.44,6977.04,6983.99,1438080
2025-06-30,7039.96,7046.59,6978.53,6987.16,984446
2025-07-01,7044.29,7100.0,7037.7,7092.57,1243818
2025-07-02,7021.29,7259.03,7014.13,7235.55,1351361
2025-07-03,7253.55,7361.96,7249.9,7339.45,1063568
2025-07-04,7312.74,7399.83,7296.99,7392.29,1209532
2025-07-05,7346.57,7361.48,7225.02,7235.83,1368087
2025-07-06,7214.74,7228.91,7152.45,7186.81,898744
2025-07-07,7228.4,7283.85,7194.43,7274.42,911617
2025-07-08,7286.91,7292.83,7096.4,7097.29,1131110
2025-07-09,7124.79,7148.35,7092.12,7115.11,1057589
2025-07-10,7100.62,7160.85,7009.31,7034.08,1157244
2025-07-11,7054.94,7076.73,6874.1,6889.42,984924
2025-07-12,6905.99,6997.84,6905.1,6993.27,1039904
2025-07-13,7033.32,7036.42,6870.37,6910.26,926701
2025-07-14,6988.57,6993.09,6815.91,6833.72,1181810
2025-07-15,6807.85,6907.42,6795.38,6901.64,1004701
2025-07-16,6875.31,6879.05,6692.94,6698.78,1343361
2025-07-17,6703.9,6913.98,6700.26,6865.69,1057355
2025-07-18,6885.06,6891.44,6749.62,6758.39,1033729
2025-07-19,6752.64,6841.07,6749.2,6826.14,1055025
2025-07-20,6830.53,6864.79,6740.27,6776.9,1267042
2025-07-21,6811.89,6820.65,6796.44,6801.55,847934
2025-07-22,6842.01,6913.32,6817.2,6904.36,1348733
2025-07-23,6866.0,6883.46,6747.75,6748.42,1001658
2025-07-24,6733.99,6735.19,6594.83,6614.34,1249279
2025-07-25,6633.91,6665.93,6470.36,6487.7,1166058
