date,open,high,low,close,volume
2025-04-27,5592.69,5598.43,5569.0,5575.98,1037167
2025-04-28,5585.58,5655.01,5584.75,5643.47,1045372
2025-04-29,5622.04,5632.83,5618.19,5621.3,874223
2025-04-30,5642.95,5662.21,5490.01,5506.43,1088722
2025-05-01,5478.74,5627.17,5463.53,5624.91,1266973
2025-05-02,5617.96,5643.17,5564.34,5576.94,1012954
2025-05-03,5627.14,5650.4,5497.3,5522.23,1123362
2025-05-04,5524.81,5603.24,5520.79,5586.39,1232374
2025-05-05,5589.03,5617.21,5586.67,5607.69,958517
2025-05-06,5628.68,5678.14,5451.45,5470.75,1015305
2025-05-07,5516.62,5643.38,5507.91,5639.28,1514677
2025-05-08,5653.3,5658.21,5542.88,5561.8,934172
2025-05-09,5543.5,5562.55,5487.71,5488.6,1130615
2025-05-10,5484.78,5489.28,5353.02,5358.45,1092239
2025-05-11,5334.83,5343.79,5217.96,5225.73,1104782
2025-05-12,5197.65,5364.55,5184.68,5354.16,1305806
2025-05-13,5363.16,5397.08,5192.93,5196.09,1121389
2025-05-14,5173.83,5184.6,5045.36,5054.97,1480615
2025-05-15,5009.65,5134.15,4988.21,5120.69,1226223
2025-05-16,5139.92,5165.11,4969.36,4972.04,1367279
2025-05-17,4961.89,4970.25,4869.74,4880.61,1242013
2025-05-18,4857.17,4882.06,4855.88,4869.92,1033608
2025-05-19,4868.52,4869.81,4795.49,4797.0,978689
2025-05-20,4791.78,4856.7,4765.5,4848.42,1252350
2025-05-21,4850.41,4874.31,4849.06,4862.83,1083032
2025-05-22,4867.88,4875.84,4701.37,4705.38,1369017
2025-05-23,4714.61,4749.8,4708.04,4736.0,1235413
2025-05-24,4734.35,4804.56,4711.06,4786.42,1062974
2025-05-25,4754.03,4834.12,4745.51,4818.82,966753
2025-05-26,4779.03,4873.63,4778.92,4861.18,891155
2025-05-27,4834.66,4966.27,4825.0,4933.83,1249658
2025-05-28,4929.1,4934.73,4805.53,4805.99,1165560
2025-05-29,4796.56,4820.76,4693.53,4704.65,990344
2025-05-30,4716.58,4722.36,4538.61,4564.92,1269770
2025-05-31,4552.55,4716.62,4543.78,4702.53,1446161
2025-06-01,4677.01,4725.53,4665.55,4703.74,1031735
2025-06-02,4699.59,4701.32,4643.89,4656.32,1162781
2025-06-03,4663.35,4682.38,4643.25,4671.91,912226
2025-06-04,4661.75,4892.1,4655.97,4884.88,1704730
2025-06-05,4918.53,4921.42,4704.2,4705.56,1265973
2025-06-06,4699.13,4712.0,4688.58,4702.31,831634
2025-06-07,4701.04,4856.2,4688.35,4853.65,1410658
2025-06-08,4858.74,4863.36,4838.5,4852.28,1062936
2025-06-09,4840.14,4857.49,4745.39,4782.27,1247274
2025-06-10,4766.23,4928.12,4760.44,4892.45,1040088
2025-06-11,4944.55,4966.7,4920.5,4965.4,1289837
2025-06-12,4975.35,5038.4,4962.21,5029.17,1307966
2025-06-13,5026.78,5214.44,5018.32,5204.11,1197314
2025-06-14,5196.32,5300.05,5183.89,5277.75,1235951
2025-06-15,5286.56,5390.55,5268.15,5366.06,1112006
2025-06-16,5341.65,5415.76,5335.03,5391.53,1137011
2025-06-17,5408.26,5418.7,5278.29,5278.86,1036435
2025-06-18,5327.06,5345.35,5094.7,5119.23,1183382
2025-06-19,5109.01,5226.65,5090.66,5199.07,1362670
2025-06-20,5199.97,5280.97,5197.74,5271.36,1044318
2025-06-21,5293.3,5299.18,5061.32,5065.29,1653176
2025-06-22,5062.84,5233.23,5051.56,5221.43,1288486
2025-06-23,5243.87,5373.47,5228.49,5355.78,1488676
2025-06-24,5318.62,5405.04,5316.19,5402.42,1282062
2025-06-25,5420.34,5508.28,5391.34,5489.0,1347196
2025-06-26,5480.83,5514.22,5461.68,5497.77,984493
2025-06-27,5507.53,5638.83,5498.09,5635.47,1344033
2025-06-28,5629.42,5638.99,5629.13,5637.19,889488
2025-06-29,5581.39,5769.12,5569.9,5754.17,1170841
2025-06-30,5762.94,5772.16,5730.73,5763.82,1183327
2025-07-01,5786.28,5795.16,5717.72,5727.73,1058268
2025-07-02,5743.15,5837.62,5732.21,5825.62,1180330
2025-07-03,5845.22,5845.92,5812.91,5820.35,1065667
2025-07-04,5776.21,5782.85,5673.89,5687.41,1073198
2025-07-05,5752.19,5790.15,5729.34,5731.16,1115108
2025-07-06,5706.78,5884.27,5697.87,5876.65,1481194
2025-07-07,5834.71,5853.75,5783.92,5799.24,1297893
2025-07-08,5765.0,6026.89,5756.51,5983.12,1250565
2025-07-09,5956.03,6026.13,5933.58,6002.24,1169895
2025-07-10,5997.86,6008.69,5967.84,5981.14,1054076
2025-07-11,6015.56,6129.4,6012.63,6110.01,1212899
2025-07-12,6096.82,6133.89,6062.09,6130.61,1044347
2025-07-13,6133.78,6144.36,6003.42,6013.15,1382112
2025-07-14,6017.79,6090.12,6002.51,6085.5,1135102
2025-07-15,6082.79,6353.1,6050.69,6308.02,1164057
2025-07-16,6346.65,6362.64,6322.96,6342.72,1017840
2025-07-17,6382.1,6436.25,6376.07,6424.17,1095254
2025-07-18,6412.87,6425.59,6297.16,6332.27,951907
2025-07-19,6380.58,6398.24,6197.91,6220.52,1313592
2025-07-20,6179.6,6220.99,6157.19,6199.68,1038274
2025-07-21,6213.72,6229.93,5919.79,5949.02,1653671
2025-07-22,5909.13,5919.47,5734.87,5735.57,1208974
2025-07-23,5733.01,5734.15,5443.16,5475.84,1687701
2025-07-24,5450.66,5544.22,5436.67,5520.57,1193382
2025-07-25,5526.71,5540.55,5345.28,5345.35,1577868
