date,open,high,low,close,volume
2025-04-27,1244.23,1247.01,1195.91,1200.96,1585152
2025-04-28,1201.41,1204.93,1193.18,1198.32,946733
2025-04-29,1194.81,1200.48,1168.06,1168.67,1446782
2025-04-30,1177.66,1238.16,1176.8,1231.69,1509891
2025-05-01,1227.7,1235.09,1222.89,1223.18,1168592
2025-05-02,1222.94,1225.09,1201.88,1208.78,914620
2025-05-03,1212.77,1215.14,1185.41,1188.72,1349828
2025-05-04,1186.44,1187.44,1177.81,1179.93,1212357
2025-05-05,1180.37,1222.34,1178.73,1219.37,1101286
2025-05-06,1213.77,1216.47,1195.13,1196.85,1415829
2025-05-07,1204.18,1228.62,1201.56,1226.67,1115186
2025-05-08,1223.93,1231.54,1222.21,1228.86,938257
2025-05-09,1228.31,1228.36,1212.19,1214.6,1088357
2025-05-10,1212.39,1238.59,1210.57,1234.95,1331762
2025-05-11,1244.85,1252.71,1233.54,1234.71,1086195
2025-05-12,1234.63,1240.58,1224.09,1227.04,934790
2025-05-13,1215.01,1234.86,1212.73,1226.49,850971
2025-05-14,1223.46,1227.08,1219.22,1226.29,1088455
2025-05-15,1224.06,1224.3,1195.48,1197.58,1026584
2025-05-16,1183.36,1185.5,1162.22,1168.5,1012798
2025-05-17,1170.51,1202.52,1170.01,1201.38,1361013
2025-05-18,1197.64,1233.82,1196.74,1233.33,1088202
2025-05-19,1237.69,1267.62,1235.41,1265.23,1259432
2025-05-20,1260.51,1262.17,1196.74,1199.81,1431364
2025-05-21,1195.32,1198.35,1175.03,1180.86,1050731
2025-05-22,1195.05,1222.21,1193.46,1221.93,1140631
2025-05-23,1213.59,1249.32,1210.94,1247.91,1392335
2025-05-24,1243.36,1275.04,1241.04,1274.85,1290572
2025-05-25,1270.59,1297.1,1270.31,1291.42,921121
2025-05-26,1285.99,1296.13,1283.7,1295.61,1170684
2025-05-27,1285.33,1308.46,1284.64,1303.28,992331
2025-05-28,1299.8,1315.39,1298.77,1311.94,1044295
2025-05-29,1307.53,1311.67,1304.68,1305.99,1242140
2025-05-30,1301.42,1303.11,1301.39,1301.88,944394
2025-05-31,1298.18,1302.51,1289.33,1302.01,955881
2025-06-01,1304.12,1310.4,1295.44,1296.57,1097494
2025-06-02,1288.06,1290.68,1277.84,1283.89,1073397
2025-06-03,1283.35,1284.8,1276.07,1277.21,1100625
2025-06-04,1272.48,1310.7,1271.59,1307.09,1460978
2025-06-05,1320.52,1321.46,1253.34,1253.98,1501573
2025-06-06,1250.22,1263.35,1247.08,1259.83,953257
2025-06-07,1266.63,1275.68,1249.89,1257.16,1052376
2025-06-08,1253.58,1273.92,1250.81,1272.84,1042342
2025-06-09,1268.33,1283.58,1266.85,1281.34,1101475
2025-06-10,1271.84,1274.91,1199.61,1202.24,1518355
2025-06-11,1196.49,1211.88,1196.16,1205.97,1217938
2025-06-12,1201.07,1210.84,1197.63,1207.5,1162352
2025-06-13,1209.8,1210.64,1193.95,1198.07,913608
2025-06-14,1195.54,1246.0,1190.18,1244.99,1411025
2025-06-15,1247.44,1247.65,1235.95,1237.71,944292
2025-06-16,1232.47,1235.95,1200.39,1201.4,1158726
2025-06-17,1198.81,1202.19,1167.6,1170.66,1013142
2025-06-18,1166.51,1167.32,1162.95,1164.36,960825
2025-06-19,1164.58,1166.73,1123.49,1124.28,1228101
2025-06-20,1124.7,1124.99,1089.65,1095.09,1173244
2025-06-21,1101.49,1104.79,1069.82,1072.59,1392932
2025-06-22,1073.37,1076.31,1063.71,1068.65,1001438
2025-06-23,1066.76,1116.97,1065.82,1113.11,1388622
2025-06-24,1113.69,1114.56,1101.64,1104.6,1095452
2025-06-25,1102.2,1109.85,1100.7,1108.53,951433
2025-06-26,1111.19,1115.63,1098.48,1100.61,1146834
2025-06-27,1094.94,1124.89,1094.57,1121.12,1051915
2025-06-28,1126.22,1158.3,1124.05,1156.69,1341128
2025-06-29,1159.99,1163.03,1143.02,1143.65,1253752
2025-06-30,1137.22,1162.4,1135.48,1162.25,1187428
2025-07-01,1167.19,1187.31,1161.8,1185.06,1366353
2025-07-02,1189.03,1222.23,1185.58,1221.6,1254004
2025-07-03,1218.29,1255.7,1218.12,1251.78,1174145
2025-07-04,1263.4,1264.51,1259.32,1260.93,1257945
2025-07-05,1261.73,1269.18,1238.64,1240.61,1061882
2025-07-06,1228.67,1244.32,1226.12,1239.26,1011511
2025-07-07,1240.18,1244.96,1203.01,1207.97,1317312
2025-07-08,1210.76,1216.31,1204.22,1212.67,929960
2025-07-09,1220.66,1230.13,1211.35,1226.38,1042694
2025-07-10,1223.06,1223.53,1217.14,1217.83,1095206
2025-07-11,1214.9,1217.36,1206.53,1208.54,1168502
2025-07-12,1211.4,1252.21,1210.83,1249.3,1523695
2025-07-13,1262.54,1268.92,1243.65,1244.63,973770
2025-07-14,1242.49,1248.83,1241.82,1247.53,1195260
2025-07-15,1238.84,1307.88,1236.09,1305.27,1371500
2025-07-16,1298.31,1320.83,1292.76,1317.46,1247245
2025-07-17,1325.83,1329.09,1245.82,1246.0,1573983
2025-07-18,1239.88,1258.79,1238.59,1257.53,1012938
2025-07-19,1252.91,1260.1,1249.71,1254.35,882295
2025-07-20,1255.46,1259.32,1225.99,1229.67,1079904
2025-07-21,1231.42,1234.49,1227.78,1229.28,1150793
2025-07-22,1236.25,1240.21,1231.25,1237.45,1002562
2025-07-23,1242.94,1258.23,1241.49,1251.05,892680
2025-07-24,1251.27,1252.07,1209.54,1211.24,1421184
2025-07-25,1208.56,1229.22,1207.29,1227.61,1186971
