date,open,high,low,close,volume
2025-04-27,400.28,401.15,391.08,392.15,1307954
2025-04-28,393.16,394.95,386.2,386.28,1186652
2025-04-29,384.44,385.58,373.8,374.53,1397629
2025-04-30,374.78,377.34,373.76,376.91,1015229
2025-05-01,377.03,379.49,376.49,379.11,1226366
2025-05-02,378.14,378.9,364.47,365.33,1279720
2025-05-03,364.87,372.1,362.9,371.09,1071192
2025-05-04,373.35,381.78,372.42,380.96,1391905
2025-05-05,379.41,382.61,379.28,382.55,1066288
2025-05-06,384.65,390.79,384.5,388.69,1256751
2025-05-07,390.89,393.44,387.75,388.12,1154988
2025-05-08,386.01,387.0,385.02,386.6,1047727
2025-05-09,390.07,400.33,389.51,399.43,1115039
2025-05-10,404.0,404.01,400.02,401.01,1096662
2025-05-11,400.51,401.96,399.24,399.67,1138037
2025-05-12,398.85,399.37,392.78,393.36,1211693
2025-05-13,393.79,397.25,393.19,395.78,981730
2025-05-14,398.62,398.78,387.81,388.05,982175
2025-05-15,387.5,389.2,386.89,388.24,1048646
2025-05-16,389.79,391.16,372.06,373.11,1179290
2025-05-17,371.23,372.7,365.13,367.09,1369619
2025-05-18,366.74,371.07,364.73,369.84,899666
2025-05-19,370.7,372.02,370.28,371.56,983660
2025-05-20,371.09,375.75,368.72,375.51,1010066
2025-05-21,375.62,386.29,373.96,386.2,1138626
2025-05-22,383.78,384.34,369.87,370.29,1451172
2025-05-23,370.09,370.28,361.66,364.89,1181444
2025-05-24,363.36,380.87,362.41,379.98,1541512
2025-05-25,380.94,381.74,379.39,380.51,825500
2025-05-26,380.95,388.81,380.86,388.48,1406488
2025-05-27,391.65,391.78,376.99,377.01,1089159
2025-05-28,377.3,378.49,374.74,375.05,959485
2025-05-29,374.55,374.95,365.09,366.55,1349913
2025-05-30,364.57,377.73,364.27,377.11,1308921
2025-05-31,377.02,381.71,376.5,380.33,1001754
2025-06-01,381.0,397.61,380.73,397.33,1534090
2025-06-02,397.34,398.29,392.92,394.03,1010189
2025-06-03,393.21,401.88,393.05,398.97,1123913
2025-06-04,400.15,405.61,399.57,405.05,940753
2025-06-05,405.56,406.74,395.0,396.37,1036359
2025-06-06,399.29,399.76,388.08,389.68,944174
2025-06-07,391.2,391.27,386.12,387.47,1205717
2025-06-08,388.53,395.78,386.24,395.48,1116097
2025-06-09,399.7,401.94,399.56,400.55,1330324
2025-06-10,398.43,401.81,397.89,400.87,1169318
2025-06-11,401.57,402.24,393.22,395.14,1177054
2025-06-12,396.32,396.68,387.67,388.02,1319930
2025-06-13,384.35,399.18,384.23,397.92,1164853
2025-06-14,400.44,413.62,400.11,411.34,1126174
2025-06-15,410.47,416.63,409.69,416.52,938678
2025-06-16,419.42,425.29,417.94,425.03,1320985
2025-06-17,425.49,425.93,420.07,421.75,1025414
2025-06-18,419.15,425.35,417.36,424.05,1179954
2025-06-19,428.14,428.9,414.1,414.18,1104167
2025-06-20,413.57,414.72,394.94,395.43,1354765
2025-06-21,394.4,401.69,392.48,401.18,1301331
2025-06-22,404.03,405.27,382.26,382.68,1296763
2025-06-23,385.7,385.78,367.21,369.01,1624370
2025-06-24,369.93,371.07,362.12,362.81,1362894
2025-06-25,360.02,363.68,358.58,363.33,891035
2025-06-26,362.95,370.78,362.46,370.08,1406815
2025-06-27,366.04,371.6,366.0,370.15,1177163
2025-06-28,369.44,370.11,363.21,363.7,1033687
2025-06-29,363.52,375.96,363.34,375.58,1147717
2025-06-30,373.7,384.9,370.87,383.28,1272783
2025-07-01,384.44,399.42,383.48,399.23,1694316
2025-07-02,396.38,401.51,392.87,401.38,902207
2025-07-03,401.84,402.64,389.69,390.52,1368279
2025-07-04,391.95,392.4,384.41,385.51,1181827
2025-07-05,388.88,393.82,387.1,393.12,1106306
2025-07-06,395.73,397.31,392.19,392.31,1181996
2025-07-07,393.13,393.87,384.5,385.36,1356851
2025-07-08,386.22,386.35,378.66,379.4,1113743
2025-07-09,380.04,380.35,368.92,369.38,1264636
2025-07-10,368.09,369.49,365.87,366.78,920170
2025-07-11,367.91,367.96,356.94,357.83,1269832
2025-07-12,356.2,357.26,352.74,353.01,927577
2025-07-13,354.16,354.59,352.69,354.09,1187716
2025-07-14,356.46,356.67,355.56,355.87,1164994
2025-07-15,356.08,359.81,355.33,359.24,892018
2025-07-16,357.76,367.84,357.11,367.79,1091769
2025-07-17,368.63,369.77,366.25,366.67,1006615
2025-07-18,366.8,368.07,363.55,364.01,1207653
2025-07-19,361.48,366.59,360.95,365.91,957869
2025-07-20,363.8,364.93,362.65,363.98,1012663
2025-07-21,362.84,365.78,360.6,365.65,1175046
2025-07-22,368.62,369.23,364.5,366.49,947878
2025-07-23,367.39,367.4,363.22,363.84,957811
2025-07-24,366.42,369.31,366.33,368.82,1150434
2025-07-25,370.24,379.98,369.09,379.37,1107686
