date,open,high,low,close,volume
2025-04-27,113.24,113.53,110.43,110.92,1390661
2025-04-28,111.25,111.34,110.42,110.55,887003
2025-04-29,110.21,114.14,109.77,114.12,1397197
2025-04-30,113.29,114.25,112.89,114.16,1137679
2025-05-01,114.18,114.66,111.37,111.81,1412502
2025-05-02,112.38,112.42,109.26,109.37,1115998
2025-05-03,109.2,112.18,109.09,111.78,1451677
2025-05-04,111.08,112.47,111.02,112.01,848376
2025-05-05,111.18,111.66,110.29,110.34,1262310
2025-05-06,109.41,111.73,109.4,111.66,978860
2025-05-07,111.51,111.82,111.09,111.31,1144654
2025-05-08,111.39,111.53,110.29,110.82,963812
2025-05-09,111.71,111.86,111.43,111.79,1218437
2025-05-10,111.8,112.2,111.5,111.89,1048825
2025-05-11,112.94,113.48,111.95,112.06,1109060
2025-05-12,111.76,112.77,111.4,112.59,1149434
2025-05-13,112.47,113.7,112.37,113.21,1138171
2025-05-14,112.92,113.21,112.48,113.15,942179
2025-05-15,113.29,113.45,110.28,110.34,1316804
2025-05-16,110.96,111.15,109.94,110.18,920879
2025-05-17,109.78,110.15,109.51,110.04,859924
2025-05-18,109.16,110.67,108.91,110.54,1023021
2025-05-19,109.98,116.0,109.58,115.98,1369941
2025-05-20,115.87,115.97,114.37,114.38,987299
2025-05-21,114.96,115.12,114.44,114.46,957546
2025-05-22,114.41,116.35,114.12,116.21,1351393
2025-05-23,117.62,117.65,115.5,116.18,847698
2025-05-24,116.63,116.66,112.35,112.81,1048296
2025-05-25,112.83,112.85,109.56,109.68,1468179
2025-05-26,110.12,110.5,109.14,109.35,1219277
2025-05-27,109.3,110.74,108.79,110.61,1008882
2025-05-28,109.45,109.86,108.82,109.79,1226665
2025-05-29,110.11,110.11,109.28,109.32,1134427
2025-05-30,108.53,111.53,108.42,111.33,1233400
2025-05-31,110.34,115.01,110.33,114.77,1442429
2025-06-01,115.64,116.08,114.18,114.24,998482
2025-06-02,114.63,115.43,114.55,115.0,984150
2025-06-03,115.58,115.64,113.55,113.87,1067559
2025-06-04,114.14,114.49,112.75,113.34,1054890
2025-06-05,113.7,113.98,113.37,113.67,975172
2025-06-06,112.35,112.93,109.09,109.65,1489928
2025-06-07,109.92,110.26,107.3,107.33,1288197
2025-06-08,107.49,110.54,106.92,110.38,1163486
2025-06-09,109.77,114.96,109.63,114.92,1317863
2025-06-10,114.57,115.8,114.42,115.17,919875
2025-06-11,114.52,115.6,114.15,115.5,1013790
2025-06-12,116.96,118.57,115.9,118.49,1369170
2025-06-13,118.37,123.62,118.08,123.4,1688047
2025-06-14,122.97,124.37,122.82,124.24,866239
2025-06-15,124.04,124.71,122.54,123.1,1100780
2025-06-16,122.79,122.94,120.83,120.97,1350729
2025-06-17,121.03,121.71,116.43,116.52,1217023
2025-06-18,116.48,116.63,113.97,114.36,1057193
2025-06-19,114.6,114.89,114.49,114.79,1103512
2025-06-20,114.8,115.99,114.55,115.76,1087705
2025-06-21,116.22,116.35,115.65,116.02,1222059
2025-06-22,116.04,116.89,115.85,116.58,1046905
2025-06-23,115.84,115.88,113.58,114.2,1277269
2025-06-24,113.95,114.1,110.05,110.25,1243213
2025-06-25,109.77,109.92,106.26,106.94,1418361
2025-06-26,106.09,106.35,105.7,106.11,1188987
2025-06-27,106.27,106.35,104.52,105.04,1276100
2025-06-28,104.04,104.23,103.05,103.18,1216980
2025-06-29,102.87,102.94,102.08,102.61,969759
2025-06-30,102.58,105.17,102.52,104.87,1009315
2025-07-01,104.63,104.71,103.25,103.35,1182950
2025-07-02,102.94,103.7,102.56,103.55,1034416
2025-07-03,103.91,104.03,103.7,103.86,970138
2025-07-04,103.58,103.66,102.19,102.49,1199696
2025-07-05,101.81,102.05,99.74,99.82,1226252
2025-07-06,99.79,102.43,99.36,102.21,1209846
2025-07-07,102.24,103.65,101.85,103.19,900944
2025-07-08,103.91,104.22,102.95,102.95,1210564
2025-07-09,102.36,104.78,102.32,104.45,1289269
2025-07-10,105.39,105.96,101.51,101.54,1291857
2025-07-11,101.4,105.39,100.86,105.32,1595850
2025-07-12,105.88,105.96,101.42,101.48,1190607
2025-07-13,101.65,103.7,101.19,103.24,1292530
2025-07-14,102.64,104.14,102.56,103.27,1146388
2025-07-15,102.31,102.79,101.48,102.55,1181706
2025-07-16,102.16,102.25,100.18,100.54,1395566
2025-07-17,100.1,100.2,99.41,99.57,1284906
2025-07-18,99.74,99.91,99.18,99.4,1182188
2025-07-19,97.92,101.68,97.34,101.05,1122132
2025-07-20,101.3,101.33,99.49,99.78,1012316
2025-07-21,99.37,99.5,98.85,98.86,1162929
2025-07-22,99.02,101.02,98.52,100.78,1082295
2025-07-23,100.98,102.22,100.93,102.07,1290049
2025-07-24,102.26,102.91,102.19,102.89,1037734
2025-07-25,103.7,104.0,101.77,101.9,1118662
