date,open,high,low,close,volume
2025-04-27,119.45,121.98,119.21,121.79,1297256
2025-04-28,120.8,121.08,118.76,118.83,1406317
2025-04-29,118.55,121.37,118.17,120.92,967676
2025-04-30,121.5,122.26,121.24,122.11,1096009
2025-05-01,121.96,122.19,120.62,120.88,895099
2025-05-02,120.96,123.84,120.91,123.43,1229460
2025-05-03,123.97,128.84,123.53,128.7,1332506
2025-05-04,129.92,130.06,127.65,127.96,850758
2025-05-05,128.14,128.68,126.35,126.56,1139350
2025-05-06,126.42,126.87,122.0,123.01,1314677
2025-05-07,123.89,124.58,123.21,123.67,1202687
2025-05-08,123.73,123.87,121.44,121.62,1220752
2025-05-09,121.36,121.91,118.86,119.1,1405721
2025-05-10,119.13,119.23,114.56,114.87,1132035
2025-05-11,115.81,115.94,112.98,113.37,990294
2025-05-12,113.37,114.58,113.35,114.51,962901
2025-05-13,114.13,116.09,114.05,115.77,1170557
2025-05-14,116.33,117.0,114.65,114.75,1117718
2025-05-15,115.42,115.52,112.81,113.3,1236248
2025-05-16,112.73,113.57,112.5,113.37,1151996
2025-05-17,112.78,117.45,112.57,117.4,1087436
2025-05-18,117.54,118.0,115.62,116.11,1063812
2025-05-19,116.41,117.96,116.15,117.56,985404
2025-05-20,118.67,118.72,118.09,118.27,1085081
2025-05-21,117.31,119.67,116.91,119.15,864912
2025-05-22,119.04,119.08,118.04,118.26,1240487
2025-05-23,118.09,118.71,117.69,117.86,958440
2025-05-24,117.37,120.66,116.81,120.56,1190924
2025-05-25,121.22,121.75,121.0,121.05,1209123
2025-05-26,121.26,121.29,117.23,117.38,1351396
2025-05-27,116.91,119.04,116.62,118.81,1000123
2025-05-28,119.27,119.39,117.88,117.94,1088504
2025-05-29,117.82,118.0,112.3,112.47,1332842
2025-05-30,112.75,112.86,111.65,111.95,1114355
2025-05-31,111.49,111.64,109.2,109.33,1394030
2025-06-01,108.69,109.64,108.53,109.11,1083435
2025-06-02,108.95,111.52,108.89,111.27,1260699
2025-06-03,111.35,111.74,110.91,111.52,1069832
2025-06-04,110.98,111.66,108.07,108.4,1356139
2025-06-05,108.54,108.67,105.46,105.95,995560
2025-06-06,105.9,108.4,105.31,107.92,1107943
2025-06-07,107.65,109.67,107.39,109.54,1378852
2025-06-08,108.87,111.62,108.79,110.87,1308166
2025-06-09,111.18,111.44,109.49,109.79,1306907
2025-06-10,109.64,111.13,109.49,110.84,1010122
2025-06-11,110.75,112.32,110.52,112.29,1354512
2025-06-12,112.52,113.41,112.07,113.19,920848
2025-06-13,113.35,115.54,112.93,115.41,1141940
2025-06-14,115.17,115.59,111.73,111.93,1120492
2025-06-15,113.06,115.63,112.92,115.43,1563383
2025-06-16,115.3,119.17,115.08,118.31,1030696
2025-06-17,119.13,119.25,116.25,116.62,1141328
2025-06-18,116.69,116.81,113.36,113.6,1090329
2025-06-19,113.59,118.14,112.69,117.61,1550373
2025-06-20,117.78,118.24,117.62,118.08,977623
2025-06-21,117.88,117.9,114.94,115.48,1116434
2025-06-22,116.02,118.58,115.65,118.43,1233584
2025-06-23,119.57,119.62,118.33,118.51,839980
2025-06-24,119.38,119.54,116.1,116.69,1218131
2025-06-25,116.13,116.39,114.83,114.95,937123
2025-06-26,115.12,115.78,113.21,113.53,1161424
2025-06-27,114.46,116.69,114.39,116.26,1214484
2025-06-28,116.27,117.7,116.17,117.64,1196025
2025-06-29,118.19,121.88,117.81,121.51,1077144
2025-06-30,121.61,123.53,121.46,123.18,987560
2025-07-01,123.17,125.12,122.89,124.8,1064997
2025-07-02,125.28,125.32,122.46,122.71,956277
2025-07-03,121.72,123.62,121.49,123.16,1036379
2025-07-04,122.66,126.79,122.55,126.11,1048542
2025-07-05,125.79,126.66,119.99,120.09,1636844
2025-07-06,120.45,120.61,118.23,118.43,1094675
2025-07-07,118.94,118.95,118.2,118.88,871247
2025-07-08,119.39,119.44,118.5,118.76,869244
2025-07-09,119.33,119.38,114.12,114.38,1587997
2025-07-10,113.55,115.65,112.82,115.54,988933
2025-07-11,115.38,115.81,115.25,115.4,1138272
2025-07-12,115.09,115.26,109.06,109.27,1824319
2025-07-13,110.03,110.31,107.33,107.69,1091546
2025-07-14,107.91,111.77,107.86,111.04,1136871
2025-07-15,109.69,114.69,109.63,114.28,1366683
2025-07-16,113.78,115.03,113.61,115.01,985915
2025-07-17,115.51,120.87,115.4,120.59,1680124
2025-07-18,120.07,121.29,119.9,121.05,1053904
2025-07-19,120.87,121.33,120.57,120.88,924748
2025-07-20,121.74,121.79,119.98,120.37,902874
2025-07-21,119.53,125.6,119.51,124.77,1468756
2025-07-22,125.33,127.71,124.78,127.2,1219075
2025-07-23,127.08,128.57,126.68,128.07,857050
2025-07-24,128.81,129.07,128.5,128.69,1117689
2025-07-25,128.97,129.35,128.18,128.44,1217083
