date,open,high,low,close,volume
2025-04-27,35.48,35.9,35.32,35.79,318380
2025-04-28,35.82,35.85,35.13,35.29,273435
2025-04-29,35.34,35.85,35.2,35.83,330879
2025-04-30,35.87,35.9,35.21,35.29,279967
2025-05-01,35.27,35.57,35.1,35.47,357345
2025-05-02,35.4,35.8,35.34,35.77,358748
2025-05-03,35.68,35.73,35.38,35.51,275617
2025-05-04,35.33,35.5,35.03,35.16,325867
2025-05-05,35.25,35.42,35.14,35.33,279591
2025-05-06,35.38,35.4,35.22,35.4,358399
2025-05-07,35.45,35.45,35.24,35.38,324575
2025-05-08,35.3,35.37,34.73,34.82,256467
2025-05-09,34.84,35.29,34.75,35.14,249923
2025-05-10,35.11,35.61,35.06,35.53,347384
2025-05-11,35.57,36.25,35.47,36.15,302876
2025-05-12,36.08,36.24,35.97,36.07,254992
2025-05-13,36.02,36.68,35.85,36.57,268559
2025-05-14,36.41,36.41,35.79,35.96,348316
2025-05-15,35.96,36.09,35.71,35.81,276546
2025-05-16,35.83,35.99,35.51,35.64,302016
2025-05-17,35.8,36.24,35.79,36.19,330568
2025-05-18,36.18,36.3,36.14,36.23,266694
2025-05-19,36.12,36.71,36.05,36.55,334095
2025-05-20,36.68,36.77,35.83,35.95,314013
2025-05-21,36.08,36.21,35.68,35.8,264323
2025-05-22,35.79,36.18,35.76,36.15,257673
2025-05-23,36.2,36.25,35.9,35.97,325865
2025-05-24,36.08,36.24,35.91,36.06,264182
2025-05-25,35.95,36.53,35.94,36.48,309954
2025-05-26,36.32,37.15,36.29,37.04,323391
2025-05-27,36.94,37.17,36.8,37.06,302625
2025-05-28,37.19,37.69,37.03,37.64,324438
2025-05-29,37.59,37.64,37.44,37.46,276040
2025-05-30,37.33,37.94,37.25,37.79,293639
2025-05-31,37.94,38.04,37.79,37.93,256058
2025-06-01,37.86,37.92,37.6,37.6,305694
2025-06-02,37.64,37.69,36.99,37.0,244648
2025-06-03,37.1,37.16,36.33,36.4,345617
2025-06-04,36.52,36.57,35.71,35.8,281502
2025-06-05,35.83,35.89,35.66,35.74,344513
2025-06-06,35.9,35.97,35.07,35.24,291342
2025-06-07,35.24,35.52,35.09,35.48,283215
2025-06-08,35.5,36.08,35.49,35.96,259269
2025-06-09,35.96,36.64,35.91,36.57,311326
2025-06-10,36.54,36.6,36.27,36.32,344332
2025-06-11,36.49,36.66,36.3,36.47,305859
2025-06-12,36.38,36.39,35.81,35.86,309906
2025-06-13,36.02,36.14,35.12,35.26,291410
2025-06-14,35.12,35.25,34.87,35.03,303653
2025-06-15,35.07,35.25,34.98,35.15,241112
2025-06-16,35.31,35.33,34.91,35.03,272765
2025-06-17,35.1,35.26,34.67,34.77,268315
2025-06-18,34.92,34.99,34.19,34.32,355632
2025-06-19,34.38,34.56,34.21,34.43,241907
2025-06-20,34.5,34.56,34.06,34.17,278433
2025-06-21,34.13,34.81,34.1,34.66,305263
2025-06-22,34.65,34.65,34.32,34.33,262782
2025-06-23,34.48,34.72,34.4,34.66,302528
2025-06-24,34.69,35.29,34.62,35.17,278723
2025-06-25,35.2,35.87,35.08,35.78,312459
2025-06-26,35.78,35.96,35.7,35.73,329428
2025-06-27,35.78,36.23,35.63,36.19,336992
2025-06-28,36.22,36.38,35.84,35.94,342658
2025-06-29,35.84,35.99,35.6,35.64,322735
2025-06-30,35.56,35.63,35.16,35.29,354230
2025-07-01,35.19,35.2,34.66,34.8,269274
2025-07-02,34.86,34.96,34.79,34.85,326320
2025-07-03,34.99,35.49,34.85,35.43,257190
2025-07-04,35.57,35.65,34.85,34.95,267090
2025-07-05,35.05,35.21,34.98,35.17,333900
2025-07-06,35.15,35.56,35.05,35.51,277010
2025-07-07,35.35,35.82,35.27,35.8,334206
2025-07-08,35.73,36.26,35.59,36.14,246882
2025-07-09,36.21,36.26,35.65,35.66,278041
2025-07-10,35.69,35.83,35.15,35.21,327771
2025-07-11,35.3,35.39,35.1,35.16,255689
2025-07-12,35.26,35.52,35.18,35.51,348637
2025-07-13,35.54,36.03,35.53,35.97,323189
2025-07-14,35.94,35.99,35.75,35.92,247673
2025-07-15,35.74,36.22,35.74,36.09,335349
2025-07-16,36.17,36.17,35.88,35.99,299377
2025-07-17,36.09,36.47,35.99,36.42,252932
2025-07-18,36.54,36.87,36.41,36.83,313149
2025-07-19,36.66,37.0,36.51,36.85,305982
2025-07-20,36.78,36.83,36.62,36.66,259843
2025-07-21,36.75,36.88,36.63,36.84,354287
2025-07-22,37.01,37.08,36.31,36.32,285958
2025-07-23,36.15,36.55,36.13,36.48,336589
2025-07-24,36.45,37.09,36.37,37.06,326663
2025-07-25,37.15,37.8,37.06,37.65,313795
