date,open,high,low,close,volume
2025-04-27,60.32,60.41,59.51,59.63,1039134
2025-04-28,59.76,59.83,59.35,59.49,1170823
2025-04-29,59.44,59.53,59.04,59.22,999080
2025-04-30,59.36,59.37,56.0,56.35,1671263
2025-05-01,56.15,56.29,55.15,55.22,1009527
2025-05-02,55.41,55.67,54.02,54.19,1346471
2025-05-03,54.04,54.18,52.95,53.08,1233519
2025-05-04,52.59,52.61,52.43,52.53,1039146
2025-05-05,52.31,52.33,50.8,50.98,1303812
2025-05-06,51.34,51.36,50.93,51.05,1080226
2025-05-07,50.43,50.95,50.4,50.89,1076356
2025-05-08,51.04,52.2,50.74,52.2,1210341
2025-05-09,51.63,53.4,51.45,53.31,1355782
2025-05-10,53.26,54.4,53.06,54.11,1065870
2025-05-11,54.29,54.81,54.15,54.71,1019569
2025-05-12,54.59,55.98,54.57,55.9,1447917
2025-05-13,56.26,56.37,54.1,54.11,1500150
2025-05-14,54.01,54.56,53.76,54.49,990707
2025-05-15,54.27,54.42,54.07,54.19,1023450
2025-05-16,54.45,54.62,53.52,53.61,1279070
2025-05-17,53.37,54.73,53.2,54.59,1344689
2025-05-18,54.71,55.05,54.64,54.95,1160519
2025-05-19,54.8,54.82,54.4,54.73,1017090
2025-05-20,54.81,55.07,52.71,52.88,1583467
2025-05-21,52.46,53.43,52.46,53.18,1026742
2025-05-22,53.26,54.08,53.19,53.96,1240706
2025-05-23,53.83,53.86,52.99,53.31,1299923
2025-05-24,52.79,55.25,52.61,55.22,1202207
2025-05-25,55.22,58.67,55.08,58.49,1756844
2025-05-26,58.85,59.25,58.84,59.24,1233020
2025-05-27,59.61,60.34,59.46,60.18,1265584
2025-05-28,60.68,60.82,60.45,60.78,1207279
2025-05-29,60.37,60.96,60.28,60.74,1149772
2025-05-30,60.96,61.58,60.81,61.47,924703
2025-05-31,61.71,62.71,61.41,62.41,1336571
2025-06-01,62.57,62.67,61.63,61.73,1225978
2025-06-02,61.58,62.12,61.24,62.08,1081188
2025-06-03,62.0,63.76,61.84,63.74,1291414
2025-06-04,63.82,63.88,62.02,62.15,1107754
2025-06-05,62.33,62.37,60.22,60.53,1244527
2025-06-06,60.61,61.03,59.88,60.26,1125713
2025-06-07,59.92,60.37,59.88,60.29,1113212
2025-06-08,60.76,60.92,59.77,59.83,1286915
2025-06-09,59.11,59.21,58.33,58.8,1189452
2025-06-10,58.91,58.98,57.92,57.92,1324957
2025-06-11,58.04,58.26,57.64,57.7,1082926
2025-06-12,57.74,58.8,57.7,58.69,1358499
2025-06-13,58.36,59.98,58.33,59.77,1253283
2025-06-14,59.63,59.66,58.17,58.26,1229807
2025-06-15,58.3,58.31,57.96,58.04,1125161
2025-06-16,57.68,59.54,57.57,59.0,1036276
2025-06-17,59.0,60.62,58.65,60.55,1149802
2025-06-18,60.1,60.97,60.05,60.67,1182711
2025-06-19,60.85,61.55,60.83,61.29,1277286
2025-06-20,60.7,63.32,60.66,63.18,1129749
2025-06-21,63.36,63.58,62.69,63.06,1176522
2025-06-22,63.14,63.5,61.11,61.34,1443755
2025-06-23,61.36,61.38,60.76,60.85,1038760
2025-06-24,61.12,62.86,61.01,62.72,1133572
2025-06-25,63.3,63.31,62.29,62.3,1074318
2025-06-26,62.62,63.65,62.3,63.57,1056983
2025-06-27,63.8,64.02,62.4,62.46,1154641
2025-06-28,62.47,64.21,62.43,64.19,1138825
2025-06-29,64.29,64.39,63.08,63.21,1133442
2025-06-30,63.13,63.14,59.77,59.98,1733384
2025-07-01,60.59,60.73,58.82,59.03,962039
2025-07-02,58.49,60.14,58.44,60.03,1247312
2025-07-03,60.08,60.39,58.83,59.02,1384376
2025-07-04,59.23,61.71,59.04,61.67,1606216
2025-07-05,61.18,61.92,60.74,61.73,945856
2025-07-06,61.6,61.61,60.91,60.98,1238575
2025-07-07,61.14,61.32,60.63,60.88,1144024
2025-07-08,60.11,61.29,59.7,61.29,1177497
2025-07-09,61.05,61.79,60.98,61.7,909658
2025-07-10,61.36,64.5,61.24,64.32,1655535
2025-07-11,64.79,64.95,63.79,63.84,943975
2025-07-12,64.04,65.64,64.03,65.56,1428277
2025-07-13,65.66,66.02,63.79,63.84,1168993
2025-07-14,63.62,64.35,63.39,64.21,1179375
2025-07-15,64.26,64.28,64.18,64.21,839083
2025-07-16,64.65,64.79,63.3,63.41,1139931
2025-07-17,63.61,63.87,63.01,63.12,884947
2025-07-18,63.26,63.3,61.36,61.55,1172220
2025-07-19,61.77,62.89,61.74,62.82,1013660
2025-07-20,62.91,63.94,62.44,63.84,1127713
2025-07-21,63.75,65.08,63.69,65.06,1123252
2025-07-22,65.14,65.18,64.09,64.15,988698
2025-07-23,64.46,64.91,64.23,64.29,869415
2025-07-24,63.55,63.88,63.0,63.13,1013757
2025-07-25,63.37,63.38,61.38,61.45,1055685
