date,open,high,low,close,volume
2025-04-27,1516.33,1517.06,1464.96,1469.51,1392574
2025-04-28,1469.77,1481.03,1466.36,1480.34,998630
2025-04-29,1472.53,1477.32,1464.29,1473.38,1255426
2025-04-30,1466.22,1479.75,1461.51,1478.44,1165430
2025-05-01,1492.68,1501.27,1485.69,1499.58,1101001
2025-05-02,1500.26,1521.75,1498.68,1521.02,1170767
2025-05-03,1520.45,1540.11,1516.18,1536.39,1007336
2025-05-04,1542.88,1546.69,1528.34,1532.3,1183615
2025-05-05,1532.18,1537.8,1510.03,1510.55,1252546
2025-05-06,1504.68,1512.34,1492.7,1495.72,1213901
2025-05-07,1507.19,1523.54,1505.86,1516.79,1213863
2025-05-08,1510.12,1512.13,1504.2,1507.16,1209733
2025-05-09,1514.47,1530.87,1513.89,1522.39,1128467
2025-05-10,1517.14,1517.88,1492.8,1498.15,974009
2025-05-11,1509.56,1510.23,1479.49,1483.01,1066650
2025-05-12,1498.08,1519.75,1492.06,1519.25,1171167
2025-05-13,1528.3,1531.3,1514.14,1514.52,1043533
2025-05-14,1510.83,1527.42,1505.13,1513.32,1080629
2025-05-15,1515.47,1518.87,1481.7,1486.11,1228573
2025-05-16,1491.73,1495.2,1481.97,1482.6,1228062
2025-05-17,1470.65,1513.13,1462.98,1509.23,1263151
2025-05-18,1526.39,1526.4,1476.76,1478.63,1092055
2025-05-19,1473.14,1475.46,1451.17,1452.97,1254873
2025-05-20,1464.62,1484.89,1459.24,1483.29,1113924
2025-05-21,1481.36,1502.14,1481.34,1499.24,1072474
2025-05-22,1519.37,1522.55,1481.7,1488.08,1237631
2025-05-23,1489.11,1525.75,1481.77,1520.49,1140381
2025-05-24,1514.32,1516.36,1481.83,1493.56,1302530
2025-05-25,1510.57,1511.15,1508.55,1509.17,1056580
2025-05-26,1494.66,1507.48,1489.75,1501.33,1110621
2025-05-27,1490.27,1494.36,1483.01,1490.68,1280143
2025-05-28,1496.63,1526.0,1495.37,1524.27,1109294
2025-05-29,1526.23,1528.47,1510.34,1512.06,1171375
2025-05-30,1508.88,1515.7,1506.42,1511.71,981108
2025-05-31,1512.66,1520.61,1466.22,1471.57,1339380
2025-06-01,1473.91,1477.12,1432.57,1440.94,1077897
2025-06-02,1438.1,1501.78,1437.49,1499.72,1190205
2025-06-03,1502.03,1514.24,1500.08,1510.76,872273
2025-06-04,1510.53,1514.05,1501.46,1503.06,1046862
2025-06-05,1513.78,1514.74,1493.02,1494.08,947648
2025-06-06,1501.47,1505.37,1494.69,1495.76,1211471
2025-06-07,1476.12,1477.48,1471.54,1475.55,1020998
2025-06-08,1467.28,1477.82,1463.8,1475.62,960013
2025-06-09,1473.03,1476.39,1416.42,1423.16,1297893
2025-06-10,1413.93,1414.37,1401.06,1406.69,938790
2025-06-11,1405.07,1438.74,1402.47,1438.26,1108650
2025-06-12,1447.29,1453.58,1434.04,1437.94,1060311
2025-06-13,1443.0,1447.89,1422.39,1425.34,1186324
2025-06-14,1439.07,1443.25,1413.44,1414.23,1142052
2025-06-15,1425.35,1496.65,1424.97,1486.13,1415851
2025-06-16,1483.14,1489.68,1482.92,1488.96,1042656
2025-06-17,1496.04,1496.23,1492.03,1495.69,996400
2025-06-18,1500.29,1504.98,1413.32,1414.66,1650979
2025-06-19,1422.94,1455.98,1415.85,1450.0,1420742
2025-06-20,1449.88,1456.66,1449.14,1456.57,1069801
2025-06-21,1458.31,1459.84,1446.41,1450.75,960014
2025-06-22,1451.63,1472.32,1450.52,1470.12,1043142
2025-06-23,1461.49,1525.08,1461.22,1523.32,1213065
2025-06-24,1534.73,1541.04,1514.99,1518.32,1045793
2025-06-25,1519.58,1547.8,1516.31,1542.3,1262399
2025-06-26,1537.39,1594.25,1535.67,1593.75,1121648
2025-06-27,1594.71,1608.94,1591.78,1608.35,1204630
2025-06-28,1611.37,1612.53,1557.45,1567.25,1377012
2025-06-29,1569.39,1569.4,1521.75,1525.49,1145279
2025-06-30,1524.77,1561.15,1519.17,1558.11,1123877
2025-07-01,1558.96,1559.96,1551.03,1559.85,1121952
2025-07-02,1559.25,1567.9,1557.51,1561.44,1135777
2025-07-03,1557.66,1557.99,1546.73,1547.15,1177602
2025-07-04,1546.67,1615.39,1540.2,1607.63,1389263
2025-07-05,1611.39,1615.64,1547.33,1554.3,1481791
2025-07-06,1554.14,1562.14,1531.86,1542.72,983013
2025-07-07,1547.75,1563.16,1544.36,1556.59,881498
2025-07-08,1557.32,1559.86,1532.38,1534.49,1106080
2025-07-09,1532.43,1547.41,1530.96,1546.6,1286619
2025-07-10,1529.87,1552.21,1526.12,1550.52,1175361
2025-07-11,1554.84,1557.85,1551.16,1555.43,923532
2025-07-12,1559.11,1565.14,1533.31,1534.56,1083765
2025-07-13,1531.58,1534.42,1520.54,1522.94,952750
2025-07-14,1524.91,1527.58,1502.44,1502.77,1024607
2025-07-15,1488.59,1489.73,1468.01,1471.08,1103004
2025-07-16,1467.93,1478.43,1465.56,1471.16,925167
2025-07-17,1478.18,1485.81,1464.09,1464.91,853946
2025-07-18,1463.62,1505.97,1460.64,1505.26,1223240
2025-07-19,1514.89,1543.63,1504.0,1537.27,1227033
2025-07-20,1527.53,1584.5,1524.08,1582.81,1458708
2025-07-21,1593.02,1631.38,1590.31,1621.6,1120502
2025-07-22,1621.34,1671.19,1618.49,1669.37,1455432
2025-07-23,1666.61,1670.01,1643.97,1646.32,1345580
2025-07-24,1660.09,1667.28,1630.48,1633.0,1124365
2025-07-25,1635.47,1644.03,1608.61,1612.04,1141375
