date,open,high,low,close,volume
2025-04-27,431.85,432.72,429.02,429.66,1056298
2025-04-28,431.58,440.51,430.83,439.93,1234510
2025-04-29,437.35,450.89,436.39,449.68,1115828
2025-04-30,449.17,458.15,447.09,456.96,1291827
2025-05-01,456.6,460.09,455.51,458.79,1033227
2025-05-02,461.3,462.08,457.41,459.04,1084111
2025-05-03,457.64,458.03,455.15,456.57,1102062
2025-05-04,455.05,466.02,453.62,465.26,1411838
2025-05-05,468.86,485.32,467.26,485.09,1599208
2025-05-06,483.33,488.57,482.57,487.6,1069957
2025-05-07,485.68,486.36,478.47,478.73,1031356
2025-05-08,480.9,485.53,480.18,484.29,1118942
2025-05-09,480.04,480.67,469.3,469.72,1266560
2025-05-10,469.81,470.25,451.67,454.34,1331782
2025-05-11,453.75,455.39,450.51,450.58,1264947
2025-05-12,453.64,454.9,435.58,437.9,1109581
2025-05-13,437.9,438.63,425.25,425.86,1415467
2025-05-14,427.68,434.85,426.04,434.45,1311121
2025-05-15,437.47,440.19,435.93,439.24,913313
2025-05-16,438.12,439.27,428.58,429.13,1385294
2025-05-17,430.05,431.09,426.59,428.11,1089982
2025-05-18,427.53,429.27,422.99,424.89,1254875
2025-05-19,424.28,425.16,423.02,425.0,1167784
2025-05-20,426.87,428.14,422.67,423.31,835010
2025-05-21,421.4,425.84,420.0,424.42,1214799
2025-05-22,423.69,423.75,423.58,423.59,1215032
2025-05-23,422.78,438.93,422.67,435.91,1495486
2025-05-24,438.76,439.9,425.8,426.48,1459734
2025-05-25,423.88,446.02,422.56,445.35,1338335
2025-05-26,452.05,452.06,449.41,449.96,1093128
2025-05-27,451.74,454.01,448.26,448.49,1138063
2025-05-28,452.87,453.29,450.96,452.35,885214
2025-05-29,452.36,461.64,451.32,459.05,1291574
2025-05-30,458.5,458.78,454.61,456.1,960740
2025-05-31,454.81,462.48,453.95,460.3,1217283
2025-06-01,458.86,465.78,458.51,464.87,1295410
2025-06-02,466.21,466.35,461.72,462.77,1049098
2025-06-03,458.14,461.37,457.97,459.61,898032
2025-06-04,459.74,461.1,457.94,460.97,1101207
2025-06-05,464.66,468.41,461.91,466.02,1195474
2025-06-06,465.58,465.62,455.28,455.3,997809
2025-06-07,456.41,458.05,453.25,453.69,984276
2025-06-08,455.19,458.18,454.97,457.65,1117256
2025-06-09,455.91,457.97,452.6,455.18,993192
2025-06-10,456.11,471.37,455.42,469.76,1146692
2025-06-11,467.47,469.47,451.11,452.28,1609205
2025-06-12,455.7,458.29,438.85,441.85,1095625
2025-06-13,444.5,453.12,444.23,450.87,1308783
2025-06-14,451.65,453.5,445.7,446.15,1179119
2025-06-15,443.08,451.92,442.86,451.7,1022250
2025-06-16,450.16,451.61,440.41,440.89,1410422
2025-06-17,437.42,442.54,437.07,441.5,869067
2025-06-18,442.27,443.2,441.08,442.05,1093913
2025-06-19,441.75,442.93,441.43,441.64,965349
2025-06-20,444.55,448.13,444.1,447.8,1288495
2025-06-21,446.87,447.26,435.32,435.44,1119238
2025-06-22,434.17,436.38,432.97,435.36,1136762
2025-06-23,432.39,433.83,421.93,423.66,1152390
2025-06-24,422.95,423.19,420.8,422.11,1093924
2025-06-25,418.94,437.78,417.96,437.52,1305731
2025-06-26,441.38,442.13,416.62,417.02,1178500
2025-06-27,414.42,423.94,413.21,422.35,1126368
2025-06-28,424.54,425.1,411.27,414.02,1425858
2025-06-29,411.9,412.02,399.93,401.28,1350757
2025-06-30,398.69,403.68,396.71,403.08,883579
2025-07-01,404.0,413.55,403.32,413.51,1499526
2025-07-02,414.29,419.9,412.86,418.95,925021
2025-07-03,418.95,419.7,414.53,416.63,1017696
2025-07-04,414.53,418.91,414.13,417.98,1108182
2025-07-05,417.69,425.5,416.59,425.06,1283543
2025-07-06,424.98,427.42,424.8,426.81,876589
2025-07-07,424.99,431.67,424.29,430.25,938726
2025-07-08,425.16,426.86,424.15,425.42,1254640
2025-07-09,422.66,422.7,418.13,420.99,1136719
2025-07-10,419.93,420.0,415.19,417.29,1290403
2025-07-11,414.58,416.35,413.71,416.22,1146155
2025-07-12,418.57,419.27,410.66,411.57,890766
2025-07-13,411.75,420.5,411.58,418.47,1112643
2025-07-14,415.96,420.32,415.84,419.68,935751
2025-07-15,419.43,420.27,404.53,405.71,1095929
2025-07-16,408.2,409.33,406.49,408.29,1254238
2025-07-17,407.57,411.02,406.5,408.58,975462
2025-07-18,407.15,417.01,405.92,415.6,1270488
2025-07-19,415.09,430.99,413.03,430.01,1356203
2025-07-20,430.11,457.19,429.68,455.19,1522450
2025-07-21,455.64,457.44,451.94,453.28,1048777
2025-07-22,453.6,453.71,450.8,451.31,887640
2025-07-23,453.21,454.93,443.94,444.38,1007905
2025-07-24,444.39,445.56,432.19,433.23,1412361
2025-07-25,429.03,443.69,427.22,442.84,1194187
