date,open,high,low,close,volume
2025-04-27,10726.29,10805.44,10167.39,10198.05,1301651
2025-04-28,10224.39,10323.49,10156.21,10252.88,963804
2025-04-29,10172.35,10175.29,10082.02,10151.18,1226464
2025-04-30,10026.89,10729.37,10018.36,10713.5,1479519
2025-05-01,10763.47,10845.1,10740.34,10825.02,995930
2025-05-02,10751.91,10838.21,10717.41,10816.44,994804
2025-05-03,10841.77,10903.37,10831.34,10840.37,1050513
2025-05-04,10906.37,11106.6,10889.77,11058.77,1057464
2025-05-05,11100.32,11106.71,10964.63,10975.5,903170
2025-05-06,10967.91,11001.29,10887.66,10890.75,1291782
2025-05-07,10934.17,10942.04,10345.56,10392.73,1512938
2025-05-08,10441.6,10471.98,10340.13,10370.26,972522
2025-05-09,10383.07,10445.35,10289.22,10303.54,958274
2025-05-10,10270.63,10289.22,10094.17,10103.57,1023679
2025-05-11,10094.35,10211.2,10067.17,10197.24,1192780
2025-05-12,10126.75,10289.31,10118.56,10264.26,1039855
2025-05-13,10253.36,10276.37,10165.76,10169.53,956976
2025-05-14,10108.09,10417.41,10075.67,10402.62,1136303
2025-05-15,10355.4,10497.83,10343.93,10470.32,914893
2025-05-16,10430.88,10489.56,9951.55,9957.0,1385037
2025-05-17,10028.92,10090.65,10014.31,10079.45,929989
2025-05-18,10107.56,10119.88,10052.73,10060.8,832376
2025-05-19,10060.62,10068.6,10003.04,10033.17,1111234
2025-05-20,10027.35,10041.76,9948.47,9975.05,1185927
2025-05-21,10038.43,10669.89,10014.75,10638.2,1683540
2025-05-22,10692.98,10704.33,10620.24,10648.42,1002796
2025-05-23,10618.79,10692.22,10497.77,10520.68,919348
2025-05-24,10419.6,10595.29,10354.53,10549.23,948408
2025-05-25,10555.21,10948.45,10500.88,10912.23,1541487
2025-05-26,10985.03,11042.02,10869.0,10900.59,946301
2025-05-27,10892.94,11167.17,10884.79,11148.45,1464248
2025-05-28,11148.13,11613.97,11139.94,11596.2,1383392
2025-05-29,11618.46,11635.97,11225.47,11257.8,1547400
2025-05-30,11298.92,11347.79,10955.74,10957.96,1376726
2025-05-31,10980.79,11002.66,10861.27,10902.01,1156786
2025-06-01,11008.95,11037.05,10943.59,10956.72,1170556
2025-06-02,10929.81,11068.36,10914.33,11036.32,1221197
2025-06-03,10998.35,11216.78,10968.54,11193.71,1214205
2025-06-04,11271.52,11325.31,11144.6,11150.32,1110321
2025-06-05,11177.23,11216.05,11108.49,11142.78,1153741
2025-06-06,11116.04,11402.12,11060.5,11380.85,1206622
2025-06-07,11459.95,11504.14,11243.26,11277.65,1213482
2025-06-08,11230.38,11348.13,11208.92,11293.72,1089882
2025-06-09,11334.21,11683.86,11281.02,11632.52,1403028
2025-06-10,11605.43,11738.48,11542.98,11722.68,1222320
2025-06-11,11738.36,11913.61,11674.21,11873.71,1125869
2025-06-12,11831.52,11894.74,11807.18,11891.64,1198036
2025-06-13,11976.11,12021.46,11842.81,11855.65,1201792
2025-06-14,11849.09,11919.19,11694.79,11707.79,1115598
2025-06-15,11656.58,11768.8,11623.89,11738.56,1011592
2025-06-16,11851.06,11864.07,11456.75,11471.11,1227775
2025-06-17,11480.93,11529.73,11095.96,11149.77,1399354
2025-06-18,11192.61,11211.25,10937.74,10983.98,1364591
2025-06-19,11036.52,11324.06,10989.27,11213.66,1055401
2025-06-20,11173.69,11226.48,11170.86,11176.28,1007379
2025-06-21,11135.07,11159.68,10826.15,10856.67,1437133
2025-06-22,10893.94,10958.56,10893.27,10953.55,1147901
2025-06-23,10963.25,11047.32,10945.85,11044.26,989763
2025-06-24,11078.52,11106.29,10960.13,10974.79,1043014
2025-06-25,11008.78,11489.35,10961.38,11467.99,1644720
2025-06-26,11420.38,11759.23,11407.88,11713.35,1237916
2025-06-27,11518.81,11720.46,11501.69,11717.25,815954
2025-06-28,11775.37,11799.1,11440.83,11473.71,1128460
2025-06-29,11430.78,11466.59,11392.01,11408.18,925483
2025-06-30,11435.4,11482.52,11308.73,11380.54,973634
2025-07-01,11327.61,11350.17,11283.84,11285.1,1042416
2025-07-02,11188.45,11428.8,11151.57,11369.57,889099
2025-07-03,11361.75,11362.28,11229.95,11266.04,1045942
2025-07-04,11285.58,11313.72,11127.51,11190.41,1191348
2025-07-05,11186.76,11256.21,11147.62,11229.22,1009748
2025-07-06,11249.69,11355.87,11245.4,11328.97,1186888
2025-07-07,11279.71,11597.35,11252.49,11532.48,1395706
2025-07-08,11492.0,11502.98,11368.52,11383.92,1242943
2025-07-09,11411.2,11510.09,11366.79,11489.47,1170250
2025-07-10,11409.78,11668.71,11372.92,11624.54,935767
2025-07-11,11520.63,11535.87,11453.51,11511.61,894888
2025-07-12,11468.29,11470.99,11284.79,11304.01,993030
2025-07-13,11322.37,11414.28,11275.31,11377.01,973813
2025-07-14,11519.89,11562.48,11049.99,11064.91,1280475
2025-07-15,11112.99,11162.66,11017.53,11041.96,909401
2025-07-16,10930.41,11004.6,10921.59,10991.03,1068124
2025-07-17,11035.58,11074.76,10949.07,11003.25,1006140
2025-07-18,11004.52,11014.68,10862.3,10873.81,1189290
2025-07-19,10894.97,11013.65,10862.89,10994.32,948291
2025-07-20,10977.56,11052.38,10932.94,11025.15,1082638
2025-07-21,11084.76,11144.72,11022.53,11139.59,1012974
2025-07-22,11158.93,11271.58,11154.66,11239.81,1224772
2025-07-23,11266.3,11351.79,11232.53,11324.8,1198457
2025-07-24,11296.41,11713.63,11236.5,11677.3,1453137
2025-07-25,11636.46,11637.11,11482.83,11501.47,1118390
