date,open,high,low,close,volume
2025-04-27,667.48,676.58,664.02,676.16,1328331
2025-04-28,677.84,701.16,677.81,699.36,1407601
2025-04-29,699.66,700.11,698.91,699.89,1112969
2025-04-30,698.54,705.09,697.79,704.47,1204633
2025-05-01,699.09,700.75,682.77,684.1,1111720
2025-05-02,691.47,692.11,683.47,686.13,1205103
2025-05-03,681.43,683.52,679.15,680.67,982027
2025-05-04,678.9,686.96,678.83,685.64,1082048
2025-05-05,691.46,700.75,690.47,699.56,1439013
2025-05-06,701.55,711.43,698.45,710.94,1141883
2025-05-07,717.32,718.54,695.05,696.36,1289582
2025-05-08,696.17,714.45,695.88,714.03,1414278
2025-05-09,710.83,714.48,709.67,713.26,1085295
2025-05-10,710.95,711.79,704.48,705.38,1162029
2025-05-11,708.67,710.23,692.61,693.62,1043583
2025-05-12,693.7,693.86,670.09,674.32,1354850
2025-05-13,675.81,707.36,671.99,706.27,1713489
2025-05-14,709.59,712.97,707.44,708.58,1167642
2025-05-15,708.51,728.41,704.2,724.0,1152719
2025-05-16,723.72,725.08,699.16,700.85,1283611
2025-05-17,701.59,715.16,700.0,714.56,1419270
2025-05-18,715.09,718.68,712.35,712.86,1041389
2025-05-19,712.66,713.77,693.73,695.55,1355906
2025-05-20,696.44,699.87,695.7,697.46,964198
2025-05-21,694.95,696.81,692.7,696.68,985230
2025-05-22,698.03,709.05,697.33,708.5,1383321
2025-05-23,706.93,709.68,694.02,696.03,1014824
2025-05-24,693.04,694.38,675.85,676.16,1124830
2025-05-25,668.28,668.59,656.81,659.5,1095615
2025-05-26,660.02,660.77,649.5,653.06,1059726
2025-05-27,652.64,653.81,649.54,651.68,972521
2025-05-28,653.07,655.39,642.91,643.39,1022659
2025-05-29,649.11,650.66,637.34,638.44,963102
2025-05-30,638.54,655.72,637.78,650.59,1204981
2025-05-31,649.34,650.07,647.15,648.12,1090772
2025-06-01,650.66,651.36,620.54,622.55,1308941
2025-06-02,624.53,629.36,623.86,628.9,1051874
2025-06-03,631.14,645.56,627.79,644.24,1043717
2025-06-04,646.63,649.77,645.59,649.72,1183067
2025-06-05,650.79,651.76,632.67,633.22,1306421
2025-06-06,635.59,635.61,626.48,627.26,928934
2025-06-07,622.64,624.82,607.05,607.87,1448576
2025-06-08,610.96,612.11,593.71,595.81,1323218
2025-06-09,598.41,601.07,591.87,592.64,1242180
2025-06-10,588.91,616.57,588.53,616.49,1509117
2025-06-11,615.78,616.01,600.68,601.6,1441984
2025-06-12,602.41,623.69,601.2,622.51,1254568
2025-06-13,624.05,625.0,602.79,603.38,1177280
2025-06-14,597.28,597.36,589.64,591.12,1095731
2025-06-15,588.73,612.27,588.48,612.17,1256486
2025-06-16,615.68,617.44,592.41,593.44,1123123
2025-06-17,593.53,593.76,585.87,587.05,1155618
2025-06-18,585.32,593.24,583.99,592.07,1191572
2025-06-19,595.18,599.13,594.27,596.76,1044834
2025-06-20,596.89,596.96,571.18,573.87,1638409
2025-06-21,571.27,578.07,570.4,574.93,1059758
2025-06-22,572.69,583.05,572.51,581.34,1273122
2025-06-23,580.52,583.87,580.16,582.84,1041426
2025-06-24,586.66,587.08,575.45,578.77,1060648
2025-06-25,578.56,579.94,566.6,568.78,1266769
2025-06-26,569.93,578.1,569.55,576.96,1111874
2025-06-27,576.66,579.35,555.62,555.71,1526180
2025-06-28,552.81,555.11,551.94,554.06,1102235
2025-06-29,555.7,556.33,551.26,552.83,1074089
2025-06-30,555.43,555.46,545.02,546.11,1061019
2025-07-01,545.47,546.66,528.45,528.95,1353247
2025-07-02,531.8,532.86,507.51,511.59,1273469
2025-07-03,514.98,515.92,494.29,497.52,1520210
2025-07-04,499.05,518.85,497.91,518.46,1192147
2025-07-05,520.12,521.4,505.67,507.95,1431625
2025-07-06,506.86,507.04,498.62,501.85,1193454
2025-07-07,499.5,519.63,498.75,518.69,1556067
2025-07-08,516.92,520.84,515.77,520.42,1222109
2025-07-09,519.21,521.37,517.84,520.95,964749
2025-07-10,522.01,523.46,515.41,515.52,1074494
2025-07-11,512.77,513.98,511.4,511.47,1199612
2025-07-12,518.88,519.19,506.94,507.07,1194979
2025-07-13,504.71,525.51,503.75,524.27,1201172
2025-07-14,523.71,536.34,522.63,536.08,1372340
2025-07-15,537.43,538.91,524.59,525.8,954717
2025-07-16,525.92,527.69,524.59,526.45,1212951
2025-07-17,524.87,527.58,508.32,508.54,1216209
2025-07-18,510.87,512.44,501.1,502.91,1076261
2025-07-19,505.64,506.92,500.4,501.02,1242840
2025-07-20,500.31,508.29,499.9,508.25,1096769
2025-07-21,509.77,523.15,509.76,522.41,1354748
2025-07-22,526.3,527.43,520.24,520.58,1204908
2025-07-23,524.04,535.47,524.03,533.34,1231319
2025-07-24,540.49,542.4,530.4,531.77,1048572
2025-07-25,535.07,536.93,525.5,527.24,959042
