date,open,high,low,close,volume
2025-04-27,779.25,804.53,779.1,802.23,1187811
2025-04-28,803.36,815.54,801.92,812.35,1276129
2025-04-29,812.01,821.29,809.53,820.08,1079892
2025-04-30,817.83,825.59,816.53,824.67,1111971
2025-05-01,823.19,866.93,819.39,860.82,1255103
2025-05-02,858.89,859.93,857.72,858.57,885692
2025-05-03,862.89,864.46,847.72,849.23,1173914
2025-05-04,849.91,850.89,839.13,839.17,1184720
2025-05-05,840.3,854.36,836.35,849.65,1266628
2025-05-06,861.32,865.88,838.57,839.99,1308150
2025-05-07,838.84,840.74,787.74,792.02,1817937
2025-05-08,786.66,837.48,782.93,835.1,1339049
2025-05-09,835.26,840.79,830.2,840.27,1063799
2025-05-10,839.71,842.69,828.74,831.1,1056662
2025-05-11,832.22,835.66,802.32,803.38,1509590
2025-05-12,803.02,803.85,799.89,800.73,867835
2025-05-13,800.2,807.83,797.77,805.88,1153290
2025-05-14,812.61,814.71,790.84,792.02,1356894
2025-05-15,795.87,804.92,792.83,803.21,1100964
2025-05-16,802.45,814.63,802.23,812.51,1101657
2025-05-17,814.33,815.65,781.05,784.3,1235361
2025-05-18,778.57,785.0,778.43,782.09,844501
2025-05-19,788.29,791.33,759.03,761.83,1028642
2025-05-20,761.73,764.12,737.28,741.58,1099866
2025-05-21,736.48,738.9,714.8,715.9,1560452
2025-05-22,715.35,716.92,712.41,716.32,1123838
2025-05-23,719.92,723.44,717.0,719.27,1102412
2025-05-24,714.6,731.52,714.16,729.8,1066760
2025-05-25,730.16,743.82,725.25,742.52,1387759
2025-05-26,742.45,743.18,739.9,740.0,1103033
2025-05-27,740.96,762.12,740.57,761.98,1087031
2025-05-28,763.02,782.51,762.84,780.25,1258286
2025-05-29,781.17,785.53,779.7,780.14,1068074
2025-05-30,776.25,777.06,770.2,770.77,1325302
2025-05-31,769.72,794.75,767.28,792.92,1490457
2025-06-01,789.07,789.35,779.3,779.4,1079189
2025-06-02,778.18,780.31,758.54,760.54,1375304
2025-06-03,764.53,768.2,755.63,756.85,1104777
2025-06-04,758.39,761.9,741.95,742.8,1268014
2025-06-05,742.9,757.68,742.25,753.39,1053018
2025-06-06,747.81,772.46,744.43,770.52,1388024
2025-06-07,771.49,791.49,769.71,790.16,1440655
2025-06-08,782.67,783.14,764.01,764.09,1308516
2025-06-09,759.43,760.08,740.02,740.2,1323025
2025-06-10,741.97,743.84,737.93,738.19,1176825
2025-06-11,739.66,758.97,736.82,758.16,1059640
2025-06-12,757.09,761.71,749.47,752.4,1267130
2025-06-13,753.73,756.55,746.6,747.89,999518
2025-06-14,753.33,756.92,740.56,744.05,997897
2025-06-15,745.87,747.44,740.45,740.73,989151
2025-06-16,740.13,746.0,739.4,745.03,1052357
2025-06-17,740.03,759.77,739.53,758.79,1175172
2025-06-18,761.0,764.13,759.05,760.33,1079025
2025-06-19,754.58,755.29,749.63,753.14,1252571
2025-06-20,756.46,760.49,741.33,742.25,1350310
2025-06-21,742.78,743.77,721.55,722.41,1451735
2025-06-22,726.79,751.5,726.57,745.72,1144558
2025-06-23,747.61,748.13,745.62,747.02,1117310
2025-06-24,744.52,757.74,741.02,757.58,1350595
2025-06-25,758.91,766.07,757.21,765.1,1244248
2025-06-26,764.38,765.94,732.64,736.84,1110745
2025-06-27,733.88,735.97,709.84,710.78,1490941
2025-06-28,712.77,720.21,710.78,718.85,1144224
2025-06-29,716.32,718.94,708.02,714.54,1212666
2025-06-30,710.54,723.66,708.96,722.49,1217439
2025-07-01,721.64,721.92,704.44,709.44,1333272
2025-07-02,708.37,713.04,703.69,712.28,931651
2025-07-03,714.74,735.17,713.2,733.56,1209697
2025-07-04,733.7,757.15,731.1,756.64,1418270
2025-07-05,760.59,763.77,756.86,757.25,839625
2025-07-06,751.13,752.36,734.17,735.09,1046727
2025-07-07,738.22,753.16,735.68,752.2,1164091
2025-07-08,759.64,761.43,748.71,749.93,945234
2025-07-09,755.2,756.86,753.15,754.66,952974
2025-07-10,751.11,759.66,749.26,758.96,873417
2025-07-11,756.88,761.55,738.63,740.69,1172728
2025-07-12,745.78,753.24,744.92,752.46,1349267
2025-07-13,749.02,781.17,748.18,778.55,1227190
2025-07-14,778.08,786.32,765.71,767.61,948172
2025-07-15,775.07,775.11,765.82,767.25,947499
2025-07-16,760.77,767.58,757.75,764.37,1154079
2025-07-17,764.69,767.51,763.91,765.33,821528
2025-07-18,767.8,770.99,747.35,748.55,976815
2025-07-19,742.89,761.15,740.8,760.2,1383889
2025-07-20,763.42,768.89,763.37,766.77,1167589
2025-07-21,762.07,788.29,760.87,787.14,1340045
2025-07-22,788.33,788.34,787.01,787.77,1077066
2025-07-23,787.86,788.65,780.57,781.98,876829
2025-07-24,786.42,789.49,778.0,778.86,953654
2025-07-25,781.03,783.3,757.81,758.57,1432335
