date,open,high,low,close,volume
2025-04-27,5484.97,5489.16,5452.33,5457.59,1155668
2025-04-28,5467.06,5477.15,5312.57,5313.13,1195380
2025-04-29,5309.83,5310.2,5140.92,5149.64,1535348
2025-04-30,5148.13,5228.04,5143.17,5190.3,995983
2025-05-01,5219.57,5303.75,5215.37,5299.25,1237137
2025-05-02,5288.51,5381.04,5286.01,5361.69,1072922
2025-05-03,5369.05,5377.57,5319.96,5320.96,1032002
2025-05-04,5293.18,5376.29,5282.39,5364.63,884868
2025-05-05,5333.6,5604.8,5314.33,5572.42,1492806
2025-05-06,5606.49,5623.59,5430.04,5440.86,1077148
2025-05-07,5438.88,5570.68,5431.24,5556.08,1125644
2025-05-08,5517.74,5550.56,5508.26,5534.06,888321
2025-05-09,5503.97,5508.36,5333.09,5365.44,1562222
2025-05-10,5365.37,5386.0,5240.94,5258.86,1114462
2025-05-11,5251.34,5286.92,5239.97,5285.5,1034853
2025-05-12,5271.99,5321.1,5209.08,5215.44,1166388
2025-05-13,5244.64,5256.83,5051.26,5056.9,1321090
2025-05-14,5059.64,5065.78,4981.72,4995.62,1217782
2025-05-15,4990.88,5012.84,4968.34,4971.64,1032354
2025-05-16,4988.21,4988.31,4830.04,4836.73,1069074
2025-05-17,4801.71,5005.59,4788.12,4999.34,1595911
2025-05-18,5022.05,5038.78,4822.18,4827.02,1594250
2025-05-19,4843.2,4859.7,4643.38,4645.1,1642940
2025-05-20,4652.65,4655.58,4613.88,4624.59,1068424
2025-05-21,4634.36,4635.95,4540.57,4545.07,943254
2025-05-22,4541.63,4546.85,4395.86,4397.26,1564839
2025-05-23,4378.34,4417.46,4377.01,4415.52,1151584
2025-05-24,4403.01,4469.34,4390.79,4458.41,1135933
2025-05-25,4456.16,4517.67,4446.76,4498.55,1028216
2025-05-26,4486.25,4544.65,4470.4,4544.35,1219333
2025-05-27,4525.93,4616.83,4516.61,4614.52,1166329
2025-05-28,4617.1,4623.11,4605.36,4614.67,1126660
2025-05-29,4576.52,4687.16,4565.03,4657.78,1223963
2025-05-30,4608.92,4643.74,4601.84,4620.38,1168041
2025-05-31,4609.84,4657.52,4604.92,4636.51,959805
2025-06-01,4657.77,4701.32,4635.09,4687.46,1128311
2025-06-02,4650.32,4655.97,4548.54,4561.33,1412137
2025-06-03,4564.75,4585.0,4543.45,4576.71,1131782
2025-06-04,4574.61,4577.89,4540.88,4552.26,970022
2025-06-05,4529.79,4534.47,4480.03,4493.84,1164099
2025-06-06,4480.34,4499.79,4434.28,4434.8,906669
2025-06-07,4462.62,4607.01,4450.65,4599.42,1459459
2025-06-08,4584.25,4619.18,4570.07,4612.93,1030283
2025-06-09,4620.12,4621.1,4598.45,4600.98,1041521
2025-06-10,4620.66,4695.96,4613.17,4693.72,1000583
2025-06-11,4691.57,4693.43,4624.03,4632.13,906114
2025-06-12,4604.7,4761.32,4604.15,4749.96,1351007
2025-06-13,4730.51,4734.86,4590.76,4622.22,1512698
2025-06-14,4598.91,4776.76,4590.62,4775.13,1335953
2025-06-15,4794.61,4812.46,4709.61,4720.85,1189311
2025-06-16,4697.27,4797.55,4686.09,4795.45,1351582
2025-06-17,4790.59,4792.64,4747.28,4774.89,1015862
2025-06-18,4749.23,4906.74,4744.19,4888.91,1106768
2025-06-19,4883.88,5012.6,4879.42,5010.67,1361850
2025-06-20,4962.72,4988.5,4955.79,4981.62,861236
2025-06-21,4981.75,4982.93,4914.28,4919.91,1154414
2025-06-22,4926.7,4963.94,4921.45,4941.06,1049516
2025-06-23,4943.48,4954.99,4935.32,4946.07,816391
2025-06-24,4925.52,4943.03,4862.77,4879.5,1130177
2025-06-25,4831.43,4859.44,4627.53,4633.31,1804069
2025-06-26,4649.84,4725.9,4647.4,4718.96,1044740
2025-06-27,4679.59,4786.75,4671.28,4780.14,957793
2025-06-28,4760.15,4805.99,4742.44,4792.49,1152516
2025-06-29,4810.45,4829.47,4733.89,4739.9,1119229
2025-06-30,4756.36,4756.84,4730.61,4754.26,831644
2025-07-01,4766.61,4779.13,4620.77,4628.96,1428288
2025-07-02,4581.67,4597.22,4537.36,4560.42,1132205
2025-07-03,4567.0,4570.48,4466.42,4473.54,1337965
2025-07-04,4485.65,4506.68,4413.08,4443.06,1231355
2025-07-05,4477.35,4478.29,4425.97,4439.47,1044279
2025-07-06,4422.78,4430.53,4356.08,4357.76,996460
2025-07-07,4371.26,4371.64,4234.66,4237.19,1193616
2025-07-08,4214.28,4215.06,4165.24,4166.72,1114753
2025-07-09,4145.51,4145.61,4035.77,4068.01,1292572
2025-07-10,4097.71,4107.26,4049.38,4059.81,933913
2025-07-11,4053.34,4062.25,4040.76,4049.67,1094795
2025-07-12,4038.53,4055.21,4021.59,4043.71,946987
2025-07-13,4051.78,4157.3,4038.15,4153.26,1465452
2025-07-14,4157.95,4171.38,4054.76,4055.67,1234907
2025-07-15,4062.41,4073.89,3962.25,3980.69,961791
2025-07-16,3988.76,3990.41,3907.2,3910.57,1114498
2025-07-17,3931.86,3935.65,3831.26,3835.13,1129968
2025-07-18,3864.0,3879.97,3861.58,3872.78,1089326
2025-07-19,3855.39,4050.91,3851.23,4045.08,1319309
2025-07-20,4067.01,4067.1,3937.55,3948.05,1423014
2025-07-21,3927.45,4038.62,3915.32,4034.17,1063760
2025-07-22,4041.29,4042.93,4000.69,4003.98,1153597
2025-07-23,3991.18,4028.65,3966.19,4021.65,987920
2025-07-24,4001.35,4031.15,3984.26,4027.55,1122436
2025-07-25,4020.11,4128.95,4015.42,4128.8,1062463
