date,open,high,low,close,volume
2025-04-27,89.46,90.29,89.12,90.15,704299
2025-04-28,90.07,90.09,89.85,89.97,801985
2025-04-29,90.02,90.04,89.53,89.56,868112
2025-04-30,89.99,90.31,89.04,89.32,802908
2025-05-01,89.32,89.78,89.24,89.7,742256
2025-05-02,89.94,90.88,89.84,90.51,786244
2025-05-03,90.92,91.12,90.59,90.75,795538
2025-05-04,90.63,91.45,90.29,91.43,935526
2025-05-05,91.86,92.07,91.77,91.83,682386
2025-05-06,92.03,92.17,91.07,91.46,880700
2025-05-07,91.63,92.74,91.47,92.38,728369
2025-05-08,92.56,93.2,92.23,93.05,731478
2025-05-09,93.49,93.9,92.57,92.62,934994
2025-05-10,92.17,92.22,91.98,92.21,916984
2025-05-11,92.52,92.73,91.06,91.37,900725
2025-05-12,91.25,91.58,91.1,91.53,874391
2025-05-13,91.87,92.06,91.43,92.05,834370
2025-05-14,91.78,92.17,91.27,91.44,943162
2025-05-15,91.31,91.37,90.24,90.6,734983
2025-05-16,90.35,91.21,90.14,90.77,722002
2025-05-17,90.75,91.4,90.32,90.99,730941
2025-05-18,91.15,91.9,91.1,91.52,801823
2025-05-19,91.61,91.67,90.53,90.89,687289
2025-05-20,91.33,91.7,90.82,91.13,860734
2025-05-21,91.29,91.7,90.81,91.05,854860
2025-05-22,90.88,91.2,89.74,90.16,882618
2025-05-23,90.35,90.41,89.18,89.52,660285
2025-05-24,89.46,89.51,89.22,89.27,847931
2025-05-25,88.94,89.94,88.57,89.64,788329
2025-05-26,89.28,90.4,89.23,90.03,661996
2025-05-27,90.32,90.58,89.77,90.15,683657
2025-05-28,90.15,90.44,89.55,89.82,842042
2025-05-29,89.86,90.05,89.77,89.91,677024
2025-05-30,90.15,90.21,89.59,89.62,744902
2025-05-31,89.41,89.6,88.7,88.74,767492
2025-06-01,88.84,89.15,88.54,88.94,775322
2025-06-02,89.3,89.72,88.65,89.06,931858
2025-06-03,89.28,89.51,88.64,88.87,658143
2025-06-04,88.76,89.16,88.44,88.87,947727
2025-06-05,89.13,89.27,88.88,89.21,891182
2025-06-06,88.81,90.3,88.38,90.09,788869
2025-06-07,90.08,90.66,90.03,90.54,748999
2025-06-08,90.27,91.48,89.85,91.44,764695
2025-06-09,91.42,91.76,90.98,91.14,718392
2025-06-10,91.23,91.64,90.11,90.31,762913
2025-06-11,90.03,91.44,89.81,91.16,870135
2025-06-12,91.42,91.53,90.17,90.41,914006
2025-06-13,90.38,91.39,90.14,91.15,697512
2025-06-14,91.47,91.87,91.15,91.79,774559
2025-06-15,92.11,92.35,91.99,92.27,949133
2025-06-16,92.22,92.54,91.78,92.09,937347
2025-06-17,91.93,92.98,91.91,92.94,926547
2025-06-18,93.05,93.75,92.6,93.32,760768
2025-06-19,93.6,94.29,93.56,94.04,673692
2025-06-20,94.46,94.47,94.0,94.04,923372
2025-06-21,94.34,94.59,93.65,93.74,824789
2025-06-22,93.69,94.6,93.64,94.57,692998
2025-06-23,94.72,94.84,93.68,93.98,705313
2025-06-24,94.17,94.46,93.53,93.77,644482
2025-06-25,93.42,93.56,92.43,92.85,839909
2025-06-26,93.19,93.69,92.73,93.26,746822
2025-06-27,93.25,93.61,92.48,92.93,736903
2025-06-28,92.48,92.53,91.95,92.03,904309
2025-06-29,92.32,92.64,91.44,91.48,798155
2025-06-30,91.48,91.66,91.29,91.31,701943
2025-07-01,90.9,90.9,90.19,90.55,688923
2025-07-02,90.61,90.97,90.27,90.69,774192
2025-07-03,90.37,91.72,89.92,91.6,805490
2025-07-04,91.15,92.37,90.78,92.06,766969
2025-07-05,92.21,92.73,91.86,92.7,740058
2025-07-06,93.12,93.43,91.84,91.94,914994
2025-07-07,91.91,92.37,91.25,91.68,646652
2025-07-08,91.75,91.97,90.68,91.06,937105
2025-07-09,90.91,91.16,90.59,90.63,889680
2025-07-10,90.33,90.96,90.28,90.94,909074
2025-07-11,91.21,91.49,90.83,91.13,938085
2025-07-12,91.34,91.41,90.32,90.33,783481
2025-07-13,89.97,90.35,89.38,89.52,755926
2025-07-14,89.86,90.23,89.5,89.64,910690
2025-07-15,89.91,90.05,88.73,89.11,935012
2025-07-16,89.08,89.37,88.59,88.93,714941
2025-07-17,88.9,89.42,88.46,89.16,905979
2025-07-18,88.87,89.53,88.57,89.29,815747
2025-07-19,88.93,89.97,88.85,89.92,912124
2025-07-20,89.69,90.46,89.39,90.36,656880
2025-07-21,90.42,90.52,89.56,89.66,801293
2025-07-22,89.48,90.24,89.24,89.85,855828
2025-07-23,89.93,90.3,89.33,89.74,693335
2025-07-24,90.02,91.07,89.93,90.63,805112
2025-07-25,90.62,90.67,90.37,90.52,759630
