date,open,high,low,close,volume
2025-04-27,209.49,216.34,209.47,216.22,1122951
2025-04-28,216.68,216.92,210.95,211.55,1213027
2025-04-29,211.48,213.09,210.92,212.63,1063782
2025-04-30,213.54,214.31,207.97,208.59,970037
2025-05-01,209.38,215.25,208.16,214.11,1241527
2025-05-02,213.07,217.45,212.67,216.39,1052836
2025-05-03,217.2,217.84,215.2,216.24,821846
2025-05-04,215.34,217.08,214.43,215.31,1151725
2025-05-05,213.58,215.31,212.68,214.63,869263
2025-05-06,213.2,213.93,210.17,210.83,1254304
2025-05-07,210.38,211.46,209.08,209.93,857934
2025-05-08,210.32,221.94,210.15,221.51,1290714
2025-05-09,221.44,222.98,214.1,215.2,1382656
2025-05-10,215.93,221.27,215.83,219.6,993782
2025-05-11,221.16,222.31,212.92,213.35,1518200
2025-05-12,215.09,215.64,214.63,215.34,1099311
2025-05-13,214.52,215.72,207.79,208.82,1554631
2025-05-14,209.01,209.49,205.68,206.41,1073668
2025-05-15,205.7,209.68,205.63,209.28,1062709
2025-05-16,210.25,211.85,209.99,210.26,978141
2025-05-17,210.89,211.05,203.47,203.67,1343172
2025-05-18,203.74,205.55,203.2,205.48,1171206
2025-05-19,206.5,215.74,206.38,215.28,1723465
2025-05-20,215.67,215.81,209.76,210.04,1160480
2025-05-21,209.85,210.03,209.06,209.98,1138211
2025-05-22,209.14,211.34,208.33,211.27,1203987
2025-05-23,212.14,213.04,211.16,212.81,883384
2025-05-24,212.01,217.82,211.66,217.59,1226968
2025-05-25,216.83,217.24,214.23,214.86,1220807
2025-05-26,213.62,214.82,209.84,209.88,1437063
2025-05-27,209.17,211.74,208.0,211.48,1033279
2025-05-28,211.7,215.12,210.92,214.25,991165
2025-05-29,213.84,214.58,210.45,211.14,1133153
2025-05-30,211.6,211.69,206.74,206.9,1420431
2025-05-31,209.91,210.48,207.01,207.12,996785
2025-06-01,207.44,210.79,206.03,210.35,1031884
2025-06-02,209.48,209.52,206.81,207.19,1205120
2025-06-03,207.15,209.93,206.59,209.65,1067454
2025-06-04,210.73,212.32,210.55,212.01,1308009
2025-06-05,210.09,219.6,209.95,219.25,1543689
2025-06-06,218.9,220.45,218.87,220.18,1016157
2025-06-07,222.28,223.11,217.02,218.22,987903
2025-06-08,217.65,219.03,217.24,218.02,1208622
2025-06-09,218.62,222.92,218.1,222.47,1122433
2025-06-10,222.35,222.57,216.29,216.59,1346460
2025-06-11,216.34,221.61,216.18,220.96,1359248
2025-06-12,218.39,221.23,218.05,220.09,992560
2025-06-13,217.92,218.02,216.29,216.59,1006518
2025-06-14,216.92,216.94,210.29,211.35,1085806
2025-06-15,211.39,213.17,211.36,212.78,1050105
2025-06-16,211.93,212.83,211.2,211.42,1243227
2025-06-17,211.23,212.21,204.82,204.86,1548679
2025-06-18,204.99,205.16,200.74,201.21,1334874
2025-06-19,202.37,205.77,202.06,205.51,1130655
2025-06-20,206.34,207.31,205.73,206.69,1133925
2025-06-21,206.63,214.32,206.02,213.83,1272865
2025-06-22,215.9,217.13,211.64,212.01,1008334
2025-06-23,211.61,211.68,210.01,210.07,886164
2025-06-24,209.73,210.32,209.17,209.9,884474
2025-06-25,210.47,211.23,207.32,207.45,1187140
2025-06-26,206.13,207.0,206.0,206.3,891933
2025-06-27,205.63,213.46,205.02,213.38,1090914
2025-06-28,214.17,215.71,213.98,215.37,1287515
2025-06-29,216.04,221.27,215.45,220.82,1499675
2025-06-30,221.58,221.71,219.74,220.59,995593
2025-07-01,219.58,225.15,218.88,224.98,1311095
2025-07-02,224.62,225.16,221.36,221.41,1090812
2025-07-03,221.06,222.77,220.95,221.9,862048
2025-07-04,222.05,222.05,215.72,216.62,1420818
2025-07-05,215.28,224.12,214.8,223.14,1072386
2025-07-06,222.85,223.0,214.83,215.44,1167260
2025-07-07,213.55,213.85,211.27,212.53,1305402
2025-07-08,212.19,212.25,210.16,210.27,1059399
2025-07-09,210.41,213.82,209.56,213.71,1015192
2025-07-10,213.72,213.81,205.38,205.91,1601675
2025-07-11,207.44,209.57,206.27,209.27,1052412
2025-07-12,208.77,209.24,204.22,205.0,1262389
2025-07-13,204.14,204.26,202.06,202.21,1033728
2025-07-14,201.64,202.7,196.69,196.85,1238690
2025-07-15,197.75,200.46,196.88,199.08,1092747
2025-07-16,198.89,203.71,198.56,203.35,1195218
2025-07-17,202.49,204.64,202.11,203.31,1039551
2025-07-18,204.51,205.73,201.24,202.06,952711
2025-07-19,200.86,201.16,200.53,201.06,896041
2025-07-20,203.29,203.62,196.41,196.69,1183710
2025-07-21,195.74,195.94,195.32,195.48,1200554
2025-07-22,197.27,198.81,196.96,198.16,1037812
2025-07-23,196.16,201.92,196.1,201.53,1113488
2025-07-24,200.48,202.58,199.82,202.55,899339
2025-07-25,202.93,203.64,197.81,198.48,1200786
