date,open,high,low,close,volume
2025-04-27,928.28,929.1,925.54,927.19,1208798
2025-04-28,928.08,948.09,927.39,944.19,1039947
2025-04-29,942.22,943.58,940.74,941.04,846138
2025-04-30,947.16,949.31,926.5,929.27,1162534
2025-05-01,926.47,926.53,914.11,918.13,996593
2025-05-02,927.68,947.7,923.22,945.12,1364653
2025-05-03,944.86,957.62,942.98,955.31,1128981
2025-05-04,957.68,970.15,956.2,969.09,1034921
2025-05-05,968.87,978.52,967.45,976.38,922302
2025-05-06,975.99,978.47,950.01,951.34,1228046
2025-05-07,950.69,954.1,915.27,916.74,1506876
2025-05-08,917.94,919.48,910.76,911.03,1119518
2025-05-09,917.27,919.01,915.72,916.02,1228408
2025-05-10,928.53,940.79,926.14,940.53,1095926
2025-05-11,949.19,952.02,927.58,927.84,1189164
2025-05-12,929.9,943.73,925.02,943.17,1052366
2025-05-13,950.35,967.46,945.81,964.81,1430026
2025-05-14,958.96,981.14,954.6,978.43,1260292
2025-05-15,973.65,974.94,944.09,948.48,1563635
2025-05-16,954.21,958.5,944.85,950.94,964226
2025-05-17,955.66,959.89,954.05,957.43,865319
2025-05-18,956.37,956.85,945.51,953.61,1109353
2025-05-19,955.54,957.09,946.71,947.13,994457
2025-05-20,950.29,951.62,936.92,940.85,1108766
2025-05-21,941.5,956.88,936.58,956.63,1175809
2025-05-22,960.66,965.44,944.63,949.49,881827
2025-05-23,952.07,954.16,926.87,927.69,1083782
2025-05-24,929.2,985.98,926.7,985.92,1418606
2025-05-25,988.3,992.21,942.78,945.28,1604668
2025-05-26,940.25,960.52,938.6,956.4,901455
2025-05-27,958.54,960.27,931.34,936.82,971961
2025-05-28,931.17,932.65,911.69,914.67,1084281
2025-05-29,912.37,912.93,904.56,905.52,1016484
2025-05-30,908.35,911.34,896.01,900.37,1146969
2025-05-31,901.05,901.96,868.66,872.0,1420123
2025-06-01,869.73,876.18,866.81,875.72,956518
2025-06-02,872.71,885.61,872.41,881.89,859807
2025-06-03,882.41,884.89,854.4,855.16,1205104
2025-06-04,857.9,874.92,857.71,872.53,1430510
2025-06-05,872.79,874.12,856.11,856.68,1358326
2025-06-06,857.12,865.54,855.55,865.53,1059081
2025-06-07,869.29,871.28,847.59,849.08,1158511
2025-06-08,855.43,858.6,831.89,833.32,962145
2025-06-09,830.22,841.57,830.11,835.65,1163341
2025-06-10,830.0,833.97,825.36,831.55,1059551
2025-06-11,829.23,832.43,806.86,808.1,1248440
2025-06-12,812.66,813.34,806.1,807.97,1163880
2025-06-13,803.86,805.19,791.78,794.04,1054669
2025-06-14,796.88,797.31,793.84,794.27,830203
2025-06-15,795.63,796.58,788.63,790.21,890465
2025-06-16,792.14,793.73,784.44,786.31,1074013
2025-06-17,787.07,788.59,772.02,772.03,1159658
2025-06-18,766.84,767.76,748.86,749.31,1059278
2025-06-19,750.98,765.72,750.22,764.62,1351090
2025-06-20,766.65,776.04,764.66,773.39,1139015
2025-06-21,773.43,786.1,771.72,785.91,1175424
2025-06-22,781.79,794.59,779.35,792.64,925813
2025-06-23,790.95,794.98,776.1,778.54,1063944
2025-06-24,781.43,783.13,771.27,776.24,938905
2025-06-25,769.01,785.99,765.41,782.88,979519
2025-06-26,784.35,785.09,751.07,751.3,1417415
2025-06-27,755.52,755.54,744.12,745.35,1104484
2025-06-28,745.22,750.45,690.09,690.72,1534139
2025-06-29,686.42,695.2,685.34,692.66,1223739
2025-06-30,694.05,696.86,687.27,687.45,1111026
2025-07-01,691.87,694.26,678.69,679.0,1265892
2025-07-02,681.53,683.64,669.0,669.74,938965
2025-07-03,665.83,673.84,664.74,672.56,837778
2025-07-04,671.48,674.48,650.84,653.35,1343534
2025-07-05,659.1,665.09,657.49,663.87,1210772
2025-07-06,662.26,662.58,660.25,661.02,1033278
2025-07-07,663.54,663.68,660.07,663.16,1128350
2025-07-08,668.27,674.36,666.51,672.17,1295829
2025-07-09,667.68,687.76,665.23,686.39,1449469
2025-07-10,683.22,685.79,679.26,679.43,1063020
2025-07-11,676.66,677.35,654.41,656.95,1187101
2025-07-12,661.24,665.01,640.22,643.17,1268751
2025-07-13,647.06,647.96,642.58,642.77,1121709
2025-07-14,642.15,653.83,640.19,652.84,1157198
2025-07-15,654.01,656.98,644.76,646.42,996877
2025-07-16,645.92,648.01,641.3,643.42,1041496
2025-07-17,638.34,638.7,634.1,634.56,1130082
2025-07-18,637.7,660.57,635.74,658.73,1645827
2025-07-19,659.62,661.62,657.46,659.48,1009586
2025-07-20,660.96,668.13,659.87,668.12,1126614
2025-07-21,666.06,666.74,663.19,663.5,1147751
2025-07-22,669.58,686.73,669.12,681.73,1072995
2025-07-23,681.51,702.74,681.3,702.68,1243947
2025-07-24,699.39,699.84,684.11,684.62,1154808
2025-07-25,681.63,682.78,680.88,681.48,1221726
