date,open,high,low,close,volume
2025-04-27,164.57,164.9,160.94,162.07,945609
2025-04-28,161.64,165.32,161.3,165.15,1019038
2025-04-29,164.43,169.89,163.92,169.23,1184320
2025-04-30,169.36,172.17,168.37,172.04,1349703
2025-05-01,172.42,173.03,171.63,171.93,1069708
2025-05-02,171.62,174.88,171.55,174.64,1299115
2025-05-03,173.91,176.12,172.99,175.66,987379
2025-05-04,176.17,176.19,173.85,174.41,1158871
2025-05-05,174.16,175.13,172.94,172.94,1057433
2025-05-06,172.35,175.66,172.25,175.5,998223
2025-05-07,176.09,176.97,172.36,173.05,1145551
2025-05-08,174.82,180.62,173.99,180.2,1684491
2025-05-09,180.11,181.16,179.88,180.43,818646
2025-05-10,179.35,179.65,177.36,178.24,902314
2025-05-11,178.18,178.52,177.82,178.49,1016071
2025-05-12,180.07,183.13,179.6,182.45,1097703
2025-05-13,182.79,192.28,182.5,191.64,1253862
2025-05-14,192.57,192.79,187.02,187.07,1352702
2025-05-15,187.24,187.69,185.31,186.62,950176
2025-05-16,185.84,185.92,182.61,183.24,1157854
2025-05-17,183.55,184.01,181.54,181.64,925827
2025-05-18,181.33,181.42,179.72,180.16,941410
2025-05-19,178.82,180.21,178.13,179.42,1216790
2025-05-20,179.1,183.25,178.46,182.59,991652
2025-05-21,183.56,184.19,180.85,181.1,1033314
2025-05-22,182.05,182.34,175.33,175.7,1550623
2025-05-23,175.39,183.64,175.28,183.58,1327524
2025-05-24,185.0,188.27,184.93,188.09,1319141
2025-05-25,187.49,190.19,187.01,189.62,971210
2025-05-26,190.95,191.67,188.59,189.19,903446
2025-05-27,187.57,190.32,186.75,189.46,1166575
2025-05-28,188.88,189.09,183.35,184.11,1106496
2025-05-29,184.36,184.9,183.21,183.75,899374
2025-05-30,183.34,183.74,182.04,182.27,964159
2025-05-31,182.05,182.46,181.08,181.17,1153968
2025-06-01,182.18,185.19,181.49,184.94,1071027
2025-06-02,185.44,186.5,181.16,181.59,1018687
2025-06-03,184.16,184.22,180.16,180.77,1109602
2025-06-04,182.16,185.53,182.08,185.29,1326043
2025-06-05,187.85,190.02,187.48,188.97,1034561
2025-06-06,190.03,190.15,182.28,182.63,1188613
2025-06-07,182.69,183.87,182.45,183.77,1235570
2025-06-08,183.11,183.44,178.91,179.05,1259652
2025-06-09,179.21,179.52,174.51,175.01,1295664
2025-06-10,174.92,176.9,174.27,176.18,1167324
2025-06-11,177.53,178.11,176.14,177.16,1007955
2025-06-12,177.95,182.07,177.68,181.2,1364262
2025-06-13,181.02,181.55,177.57,178.38,1109703
2025-06-14,178.67,178.79,178.28,178.72,911665
2025-06-15,178.43,179.48,178.33,178.66,1152151
2025-06-16,179.86,185.15,179.06,185.01,1556716
2025-06-17,184.61,186.12,184.27,185.54,879255
2025-06-18,187.02,187.81,182.91,182.91,963120
2025-06-19,183.59,183.86,178.41,178.94,1207177
2025-06-20,179.2,179.21,172.29,172.51,1479641
2025-06-21,173.97,174.67,168.67,168.93,1107481
2025-06-22,168.93,169.94,168.89,169.75,1168694
2025-06-23,170.61,170.96,167.08,167.29,1070325
2025-06-24,166.99,168.79,166.43,168.71,941882
2025-06-25,168.31,169.16,167.58,169.05,1092574
2025-06-26,169.36,169.5,165.12,165.57,1220896
2025-06-27,164.79,165.35,159.4,160.27,1402304
2025-06-28,159.72,161.14,159.61,160.99,1154394
2025-06-29,160.51,161.68,160.22,160.99,1066488
2025-06-30,160.08,163.59,159.45,163.29,1347429
2025-07-01,165.61,166.06,160.39,160.4,1236997
2025-07-02,160.12,160.44,154.15,154.21,1595801
2025-07-03,153.36,158.62,153.13,157.95,1219917
2025-07-04,159.67,160.03,158.04,158.26,995334
2025-07-05,159.11,159.54,151.66,152.08,1357876
2025-07-06,151.37,155.39,151.23,155.36,1414377
2025-07-07,155.27,155.6,146.51,146.88,1643278
2025-07-08,146.07,146.44,144.91,146.21,1001787
2025-07-09,145.5,154.41,145.49,153.85,1444198
2025-07-10,154.75,155.31,149.34,149.35,1546023
2025-07-11,149.3,152.72,148.75,152.14,966430
2025-07-12,152.04,153.96,151.66,153.29,1257779
2025-07-13,153.09,157.7,152.53,156.99,1015264
2025-07-14,156.9,157.88,156.48,157.63,1012914
2025-07-15,159.11,159.33,157.11,157.83,1177313
2025-07-16,157.62,158.4,157.03,158.26,1075864
2025-07-17,158.54,159.03,156.06,156.39,1214620
2025-07-18,156.18,156.23,154.99,155.17,1272940
2025-07-19,154.68,159.31,154.47,159.26,1397872
2025-07-20,160.57,160.87,158.96,159.11,1117288
2025-07-21,158.15,162.05,157.6,161.55,1364475
2025-07-22,162.52,163.19,156.42,156.98,1030260
2025-07-23,155.5,159.38,155.49,159.0,1097396
2025-07-24,159.62,159.74,154.27,154.53,1200597
2025-07-25,154.37,154.59,151.71,152.09,1337566
