date,open,high,low,close,volume
2025-04-27,1548.22,1553.9,1474.93,1478.05,1281234
2025-04-28,1495.66,1497.47,1461.59,1465.35,1147990
2025-04-29,1462.49,1471.29,1462.04,1467.15,1100666
2025-04-30,1450.64,1485.15,1441.42,1481.73,1206231
2025-05-01,1477.61,1503.53,1469.69,1494.32,1038153
2025-05-02,1504.06,1520.9,1501.49,1517.02,1059867
2025-05-03,1511.56,1541.79,1509.58,1537.57,1186965
2025-05-04,1545.4,1556.96,1542.63,1553.17,899293
2025-05-05,1546.86,1565.49,1545.11,1564.14,1270031
2025-05-06,1576.84,1581.1,1504.47,1506.03,1342717
2025-05-07,1502.53,1505.33,1471.27,1477.14,1131552
2025-05-08,1482.35,1483.46,1470.03,1471.03,1125828
2025-05-09,1468.75,1505.57,1465.07,1504.91,1076869
2025-05-10,1526.88,1537.76,1495.47,1497.66,1118740
2025-05-11,1494.14,1497.5,1488.21,1491.84,1182879
2025-05-12,1485.44,1489.18,1431.91,1434.41,1222096
2025-05-13,1430.38,1461.14,1427.84,1453.86,1050024
2025-05-14,1451.35,1467.35,1450.6,1466.9,1230927
2025-05-15,1471.23,1494.09,1468.05,1493.96,1375465
2025-05-16,1490.58,1494.11,1469.26,1476.06,1321506
2025-05-17,1490.79,1500.34,1486.18,1492.39,993091
2025-05-18,1496.13,1497.6,1486.64,1487.1,1140214
2025-05-19,1490.64,1496.83,1473.23,1473.45,972144
2025-05-20,1486.17,1498.2,1483.94,1497.45,1201780
2025-05-21,1497.84,1572.96,1497.54,1570.88,1765250
2025-05-22,1574.72,1577.27,1544.79,1546.27,1035857
2025-05-23,1548.38,1616.34,1539.89,1610.91,1257103
2025-05-24,1607.47,1610.31,1551.78,1554.82,1533052
2025-05-25,1549.82,1617.5,1542.75,1615.05,1114594
2025-05-26,1613.65,1619.98,1611.64,1612.93,1009230
2025-05-27,1616.09,1622.16,1609.1,1619.87,865201
2025-05-28,1617.93,1662.24,1616.33,1658.44,1104784
2025-05-29,1661.27,1662.38,1656.16,1656.64,915941
2025-05-30,1665.4,1682.35,1609.96,1619.84,1330826
2025-05-31,1626.91,1677.16,1625.1,1664.94,1329914
2025-06-01,1676.96,1681.33,1676.73,1676.77,1041138
2025-06-02,1672.84,1770.72,1670.2,1768.17,1826766
2025-06-03,1773.25,1779.47,1743.37,1747.66,1276340
2025-06-04,1739.69,1797.25,1736.22,1796.72,1534578
2025-06-05,1798.9,1830.9,1792.6,1823.32,991949
2025-06-06,1824.36,1837.07,1818.56,1823.27,937586
2025-06-07,1828.42,1830.74,1813.98,1814.98,890987
2025-06-08,1814.75,1818.82,1808.43,1811.0,1221137
2025-06-09,1806.16,1871.98,1799.47,1866.07,1069153
2025-06-10,1865.49,1895.2,1860.67,1886.33,901390
2025-06-11,1896.15,1929.12,1893.72,1928.07,1082350
2025-06-12,1915.09,1919.28,1909.8,1910.98,1012278
2025-06-13,1910.46,1965.64,1908.21,1958.01,1327928
2025-06-14,1979.07,1979.78,1967.27,1968.45,975505
2025-06-15,1958.5,1966.57,1953.95,1956.32,1237767
2025-06-16,1960.26,1964.6,1932.71,1936.67,922313
2025-06-17,1921.54,1957.48,1916.89,1955.43,944505
2025-06-18,1952.63,1967.72,1952.24,1967.49,1079175
2025-06-19,1951.8,1993.29,1951.61,1990.44,1244411
2025-06-20,1983.83,2018.78,1979.14,2005.33,1225745
2025-06-21,1987.67,1988.94,1927.2,1933.68,1132498
2025-06-22,1939.32,1942.68,1906.83,1911.41,917782
2025-06-23,1916.43,1962.8,1916.19,1952.73,1400412
2025-06-24,1963.63,1964.06,1951.02,1952.49,944836
2025-06-25,1934.45,2000.4,1927.33,2000.05,1287753
2025-06-26,1992.53,2000.13,1947.07,1960.65,1228846
2025-06-27,1940.61,1981.28,1933.97,1974.71,859664
2025-06-28,1966.21,2029.0,1965.39,2027.26,1302196
2025-06-29,2005.2,2046.94,2004.57,2045.23,926938
2025-06-30,2064.52,2069.33,2017.33,2018.77,944690
2025-07-01,2020.88,2021.17,1943.48,1949.39,1317947
2025-07-02,1951.95,1966.53,1949.13,1965.4,1279901
2025-07-03,1971.17,1971.8,1967.21,1968.52,879825
2025-07-04,1987.85,1991.27,1981.87,1983.56,1254777
2025-07-05,1986.92,1991.33,1956.1,1961.83,1205493
2025-07-06,1964.73,1971.92,1901.85,1905.1,1105500
2025-07-07,1927.6,1961.96,1919.73,1960.57,1147968
2025-07-08,1956.75,1957.57,1926.54,1936.16,1109292
2025-07-09,1925.4,1955.1,1920.4,1947.14,1046585
2025-07-10,1946.18,1947.61,1884.77,1890.09,1508170
2025-07-11,1871.83,1914.56,1862.87,1905.93,1209193
2025-07-12,1918.1,1919.34,1910.66,1916.59,1084728
2025-07-13,1908.35,1913.72,1905.76,1913.43,816195
2025-07-14,1926.35,1961.86,1917.91,1955.55,1065320
2025-07-15,1953.45,1976.53,1951.1,1974.27,906350
2025-07-16,1975.41,1978.61,1913.7,1919.73,1271390
2025-07-17,1916.8,1921.74,1882.2,1886.36,968488
2025-07-18,1889.47,1957.96,1883.16,1951.77,1197898
2025-07-19,1951.35,2012.4,1950.21,2010.61,1075239
2025-07-20,1995.17,2020.98,1985.53,2018.08,1242336
2025-07-21,1990.96,2009.14,1988.63,2002.79,1039255
2025-07-22,1993.61,2007.89,1989.58,2004.89,1112808
2025-07-23,2013.26,2047.58,2008.44,2046.08,1042597
2025-07-24,2037.25,2045.29,1979.84,1986.83,1269165
2025-07-25,1984.09,2007.02,1977.63,2006.82,1053484
