date,open,high,low,close,volume
2025-04-27,1858.09,1867.41,1835.16,1838.46,1229194
2025-04-28,1855.61,1861.36,1815.16,1817.74,1190454
2025-04-29,1815.64,1848.46,1804.9,1835.33,893108
2025-04-30,1812.36,1851.89,1808.7,1851.73,1171863
2025-05-01,1851.27,1871.9,1844.26,1871.38,1110263
2025-05-02,1869.2,1874.29,1866.9,1867.56,893014
2025-05-03,1860.07,1884.29,1850.92,1878.35,867622
2025-05-04,1888.7,1890.63,1805.76,1807.91,1212481
2025-05-05,1812.9,1848.32,1810.69,1847.29,1323773
2025-05-06,1837.12,1837.14,1820.05,1825.69,900668
2025-05-07,1817.84,1823.53,1796.02,1801.2,1049272
2025-05-08,1790.34,1794.65,1741.34,1743.61,1359637
2025-05-09,1736.72,1737.29,1706.38,1710.53,1422200
2025-05-10,1710.79,1737.92,1709.64,1735.78,1236429
2025-05-11,1729.09,1734.77,1725.45,1732.74,853839
2025-05-12,1736.55,1751.06,1736.45,1739.98,862557
2025-05-13,1759.19,1776.74,1756.64,1774.88,986581
2025-05-14,1766.2,1780.7,1749.98,1774.45,964838
2025-05-15,1779.99,1801.95,1772.83,1797.59,1110573
2025-05-16,1801.54,1806.02,1776.17,1778.78,1215605
2025-05-17,1775.4,1779.0,1761.54,1766.69,1202940
2025-05-18,1755.75,1765.18,1718.82,1723.67,1298331
2025-05-19,1722.52,1768.43,1720.14,1762.68,1416829
2025-05-20,1765.32,1765.7,1703.52,1710.22,1289508
2025-05-21,1706.71,1707.94,1698.14,1699.87,1258773
2025-05-22,1703.97,1712.11,1650.72,1660.19,1224262
2025-05-23,1656.55,1731.8,1656.2,1723.83,1361470
2025-05-24,1738.5,1740.21,1692.77,1706.41,1058317
2025-05-25,1712.52,1733.26,1710.26,1731.94,1257441
2025-05-26,1713.45,1777.98,1712.33,1776.13,1497613
2025-05-27,1786.28,1788.93,1736.2,1736.27,1435882
2025-05-28,1731.43,1739.4,1686.71,1695.49,1232144
2025-05-29,1684.31,1749.06,1683.0,1747.9,1312614
2025-05-30,1734.81,1754.52,1729.81,1747.79,811810
2025-05-31,1750.02,1750.48,1676.44,1677.91,1218314
2025-06-01,1676.42,1699.67,1668.21,1696.62,1108304
2025-06-02,1696.2,1701.27,1686.28,1687.46,1159683
2025-06-03,1678.26,1697.69,1677.25,1691.46,1163176
2025-06-04,1697.72,1699.88,1671.1,1685.1,1045087
2025-06-05,1695.85,1704.59,1691.09,1700.45,1284337
2025-06-06,1727.24,1732.75,1671.6,1672.01,964874
2025-06-07,1676.29,1679.27,1633.49,1636.91,1241479
2025-06-08,1625.98,1683.27,1623.55,1672.53,1412366
2025-06-09,1664.37,1675.94,1660.57,1660.78,857646
2025-06-10,1654.98,1696.95,1650.41,1694.49,1264416
2025-06-11,1689.55,1692.13,1687.5,1689.29,1087710
2025-06-12,1691.0,1692.28,1648.38,1650.35,1422712
2025-06-13,1655.23,1661.28,1636.61,1641.08,1122903
2025-06-14,1651.9,1655.24,1642.06,1643.54,1153332
2025-06-15,1665.68,1673.21,1656.52,1664.22,949735
2025-06-16,1668.34,1683.44,1666.19,1682.7,1247612
2025-06-17,1688.96,1698.42,1686.95,1695.85,1022026
2025-06-18,1698.49,1715.67,1696.12,1710.34,1149188
2025-06-19,1714.01,1731.27,1705.52,1727.83,1012542
2025-06-20,1734.02,1737.42,1652.23,1656.3,1497991
2025-06-21,1663.5,1685.67,1661.88,1680.31,1029428
2025-06-22,1677.17,1679.65,1657.87,1659.77,1218933
2025-06-23,1667.49,1672.66,1647.28,1649.0,986956
2025-06-24,1654.2,1685.68,1649.05,1684.63,1286140
2025-06-25,1675.42,1677.56,1657.54,1658.36,939397
2025-06-26,1665.98,1666.58,1606.42,1621.96,1342490
2025-06-27,1613.33,1616.06,1595.36,1596.24,1078621
2025-06-28,1593.06,1603.66,1591.58,1602.03,879772
2025-06-29,1600.41,1605.53,1560.88,1562.72,1038923
2025-06-30,1569.39,1579.84,1565.77,1577.86,1089609
2025-07-01,1547.77,1559.74,1544.31,1558.43,1275461
2025-07-02,1563.08,1581.01,1554.65,1575.1,1124409
2025-07-03,1574.37,1583.34,1571.27,1579.96,890411
2025-07-04,1581.59,1617.95,1574.17,1615.79,1175836
2025-07-05,1609.07,1663.66,1603.49,1662.55,1320222
2025-07-06,1671.97,1674.77,1663.6,1664.74,1045678
2025-07-07,1655.23,1667.43,1641.09,1642.82,964147
2025-07-08,1625.57,1651.06,1616.48,1646.71,959314
2025-07-09,1639.86,1644.05,1572.42,1574.27,1335058
2025-07-10,1576.06,1577.58,1522.33,1522.65,1530133
2025-07-11,1530.35,1539.78,1508.93,1510.87,977316
2025-07-12,1510.38,1536.56,1505.95,1533.12,1140813
2025-07-13,1539.81,1541.89,1482.77,1488.99,1530198
2025-07-14,1487.14,1492.28,1476.87,1477.21,1208889
2025-07-15,1467.99,1470.57,1448.22,1453.74,948362
2025-07-16,1446.6,1523.34,1444.96,1513.83,1373414
2025-07-17,1521.53,1528.24,1483.36,1485.94,1366066
2025-07-18,1482.85,1484.31,1439.32,1441.96,1514397
2025-07-19,1426.93,1473.91,1425.67,1472.3,1437630
2025-07-20,1465.11,1469.46,1437.98,1440.67,1151405
2025-07-21,1441.41,1446.42,1429.45,1431.95,1012119
2025-07-22,1438.16,1466.09,1437.22,1463.45,1410131
2025-07-23,1468.6,1472.69,1416.22,1419.65,1384975
2025-07-24,1417.81,1449.08,1413.78,1448.14,1093021
2025-07-25,1436.27,1440.3,1416.16,1418.04,990382
