date,open,high,low,close,volume
2025-04-27,18.99,19.15,18.99,19.1,599789
2025-04-28,19.11,19.2,19.01,19.08,598698
2025-04-29,19.16,19.27,19.11,19.24,644542
2025-04-30,19.31,19.45,19.23,19.39,643289
2025-05-01,19.47,19.56,19.41,19.47,489594
2025-05-02,19.45,19.68,19.39,19.65,505576
2025-05-03,19.7,19.76,19.38,19.46,451884
2025-05-04,19.48,19.88,19.42,19.78,577354
2025-05-05,19.7,19.9,19.63,19.88,589465
2025-05-06,19.81,19.98,19.78,19.92,647850
2025-05-07,20.01,20.02,19.93,19.99,610352
2025-05-08,19.94,20.07,19.93,20.0,580600
2025-05-09,19.95,20.03,19.91,19.98,481318
2025-05-10,19.93,20.15,19.85,20.14,451710
2025-05-11,20.18,20.27,19.99,20.02,450188
2025-05-12,20.06,20.11,19.75,19.75,488580
2025-05-13,19.7,19.8,19.44,19.51,649584
2025-05-14,19.55,19.63,19.49,19.5,531148
2025-05-15,19.54,19.75,19.53,19.7,484780
2025-05-16,19.69,19.94,19.67,19.94,612972
2025-05-17,19.97,20.11,19.97,20.05,657235
2025-05-18,20.1,20.15,19.96,20.02,442030
2025-05-19,20.1,20.28,20.09,20.27,514127
2025-05-20,20.25,20.7,20.19,20.6,495608
2025-05-21,20.67,20.94,20.62,20.87,460584
2025-05-22,20.91,21.01,20.54,20.63,440188
2025-05-23,20.63,20.71,20.42,20.43,570172
2025-05-24,20.35,20.39,20.06,20.14,563900
2025-05-25,20.11,20.12,19.89,19.93,447761
2025-05-26,20.03,20.13,19.93,20.1,562660
2025-05-27,20.19,20.25,19.77,19.8,564186
2025-05-28,19.75,19.82,19.42,19.5,474102
2025-05-29,19.45,19.57,19.4,19.48,656555
2025-05-30,19.58,19.62,19.56,19.59,441374
2025-05-31,19.57,19.66,19.56,19.65,624951
2025-06-01,19.68,19.73,19.56,19.61,520793
2025-06-02,19.65,19.84,19.55,19.77,635567
2025-06-03,19.73,19.97,19.66,19.93,599084
2025-06-04,19.93,20.08,19.84,20.01,579549
2025-06-05,20.09,20.33,20.0,20.3,454281
2025-06-06,20.39,20.49,20.31,20.41,636386
2025-06-07,20.5,20.53,20.14,20.17,585546
2025-06-08,20.16,20.18,20.01,20.05,616190
2025-06-09,20.14,20.23,19.93,20.01,575100
2025-06-10,19.93,19.94,19.65,19.72,538037
2025-06-11,19.75,19.81,19.66,19.68,643818
2025-06-12,19.66,19.72,19.44,19.45,602592
2025-06-13,19.44,19.53,19.32,19.36,446899
2025-06-14,19.34,19.45,19.33,19.45,642263
2025-06-15,19.45,19.53,19.4,19.49,533554
2025-06-16,19.52,19.54,19.19,19.21,464711
2025-06-17,19.17,19.28,19.09,19.22,499963
2025-06-18,19.21,19.29,19.16,19.2,443414
2025-06-19,19.16,19.17,19.0,19.03,461428
2025-06-20,19.06,19.08,18.86,18.91,488560
2025-06-21,18.95,19.07,18.9,18.97,462654
2025-06-22,19.04,19.08,18.94,18.94,495229
2025-06-23,18.85,18.9,18.69,18.74,635960
2025-06-24,18.8,18.8,18.5,18.57,548236
2025-06-25,18.53,18.7,18.48,18.62,467846
2025-06-26,18.54,18.63,18.29,18.33,656061
2025-06-27,18.39,18.57,18.36,18.55,514866
2025-06-28,18.49,18.55,18.32,18.41,587511
2025-06-29,18.39,18.54,18.34,18.46,563918
2025-06-30,18.47,18.5,18.42,18.48,544261
2025-07-01,18.51,18.71,18.44,18.66,555038
2025-07-02,18.72,18.76,18.39,18.42,495744
2025-07-03,18.42,18.54,18.34,18.48,519244
2025-07-04,18.52,18.69,18.49,18.64,521306
2025-07-05,18.67,18.71,18.35,18.35,618995
2025-07-06,18.4,18.41,18.18,18.26,569328
2025-07-07,18.3,18.35,18.23,18.34,602242
2025-07-08,18.29,18.55,18.27,18.5,448847
2025-07-09,18.44,18.49,18.1,18.19,653364
2025-07-10,18.14,18.15,17.92,17.95,550705
2025-07-11,17.89,18.16,17.85,18.09,487197
2025-07-12,18.02,18.11,17.87,17.94,494446
2025-07-13,17.95,18.04,17.78,17.83,599828
2025-07-14,17.83,18.11,17.78,18.1,645298
2025-07-15,18.11,18.17,18.03,18.09,627560
2025-07-16,18.1,18.18,18.0,18.09,580465
2025-07-17,18.06,18.27,18.04,18.27,459406
2025-07-18,18.31,18.55,18.25,18.49,599755
2025-07-19,18.45,18.68,18.38,18.66,584006
2025-07-20,18.61,18.72,18.54,18.71,563053
2025-07-21,18.66,18.94,18.61,18.89,571653
2025-07-22,18.88,18.99,18.86,18.91,601338
2025-07-23,18.98,18.99,18.64,18.65,623876
2025-07-24,18.74,18.92,18.68,18.86,576729
2025-07-25,18.81,19.01,18.78,18.92,466167
