date,open,high,low,close,volume
2025-04-27,65.39,65.61,64.26,64.45,237868
2025-04-28,64.45,64.5,63.56,63.73,213667
2025-04-29,63.79,63.83,63.58,63.64,191582
2025-04-30,63.37,65.04,63.36,64.79,224885
2025-05-01,64.86,65.64,64.77,65.38,164402
2025-05-02,65.66,66.8,65.6,66.57,208023
2025-05-03,66.35,66.59,66.18,66.19,199530
2025-05-04,66.37,66.64,64.91,64.94,166079
2025-05-05,65.06,65.12,63.97,64.16,206447
2025-05-06,64.19,64.27,62.74,63.02,215769
2025-05-07,62.97,63.65,62.81,63.59,190998
2025-05-08,63.8,63.99,62.45,62.63,199024
2025-05-09,62.76,62.9,61.68,61.76,228159
2025-05-10,61.59,61.72,61.35,61.66,160406
2025-05-11,61.36,61.94,61.2,61.94,210567
2025-05-12,62.19,62.26,61.3,61.51,166131
2025-05-13,61.74,61.79,60.74,60.83,181693
2025-05-14,60.79,62.01,60.49,61.92,205242
2025-05-15,61.97,62.82,61.96,62.69,219084
2025-05-16,62.41,62.68,62.0,62.08,234008
2025-05-17,61.92,62.75,61.77,62.48,235446
2025-05-18,62.37,63.2,62.12,62.91,162168
2025-05-19,63.03,64.41,62.92,64.1,207239
2025-05-20,63.88,63.91,63.39,63.59,196209
2025-05-21,63.78,64.31,63.47,64.07,231702
2025-05-22,63.83,64.2,63.63,64.11,224574
2025-05-23,64.32,64.48,63.9,63.97,178082
2025-05-24,64.19,65.2,64.06,65.12,164422
2025-05-25,65.29,66.4,65.14,66.23,208221
2025-05-26,66.02,66.96,65.99,66.79,199046
2025-05-27,67.04,67.36,66.59,66.7,235902
2025-05-28,66.7,66.78,66.31,66.38,181987
2025-05-29,66.64,67.82,66.47,67.5,184693
2025-05-30,67.75,67.95,66.14,66.23,169378
2025-05-31,66.45,66.48,65.2,65.2,164336
2025-06-01,65.49,65.8,64.14,64.33,182574
2025-06-02,64.43,64.53,63.3,63.51,220272
2025-06-03,63.59,63.62,62.76,63.03,160985
2025-06-04,63.3,64.44,63.13,64.19,185434
2025-06-05,63.92,64.11,63.62,63.73,166418
2025-06-06,63.78,63.98,62.6,62.87,199789
2025-06-07,62.83,62.97,62.13,62.35,164484
2025-06-08,62.18,62.27,62.09,62.14,212364
2025-06-09,62.08,62.14,60.72,60.94,181031
2025-06-10,60.95,61.11,60.83,61.06,170554
2025-06-11,61.02,62.2,60.89,62.1,168971
2025-06-12,62.21,63.41,62.14,63.27,232481
2025-06-13,63.48,63.55,62.71,62.92,185437
2025-06-14,63.1,63.98,62.94,63.79,175492
2025-06-15,63.75,65.27,63.56,64.97,193224
2025-06-16,64.77,64.93,64.24,64.43,199362
2025-06-17,64.14,64.68,64.12,64.38,231337
2025-06-18,64.31,64.58,63.07,63.31,237981
2025-06-19,63.37,64.11,63.36,64.01,217965
2025-06-20,64.24,64.53,64.24,64.42,181772
2025-06-21,64.23,64.46,64.16,64.39,173928
2025-06-22,64.24,64.56,63.92,64.18,202900
2025-06-23,63.88,64.61,63.67,64.45,217850
2025-06-24,64.72,64.96,64.39,64.43,194250
2025-06-25,64.56,64.68,64.39,64.62,170028
2025-06-26,64.33,65.27,64.05,65.21,217345
2025-06-27,65.17,65.66,65.14,65.41,228419
2025-06-28,65.56,66.72,65.24,66.42,215171
2025-06-29,66.72,67.48,66.41,67.48,173925
2025-06-30,67.74,68.08,67.71,67.98,197160
2025-07-01,67.95,68.82,67.75,68.56,197483
2025-07-02,68.6,68.81,67.85,68.11,170267
2025-07-03,68.23,69.08,68.14,68.97,232227
2025-07-04,69.18,69.73,69.14,69.42,228851
2025-07-05,69.34,69.43,68.18,68.43,172602
2025-07-06,68.31,69.27,68.29,68.98,235862
2025-07-07,68.94,69.03,68.65,68.91,211160
2025-07-08,68.97,69.26,68.04,68.23,167583
2025-07-09,68.33,69.02,68.3,68.98,174182
2025-07-10,68.81,69.84,68.75,69.81,184477
2025-07-11,69.97,71.47,69.7,71.22,175475
2025-07-12,71.32,72.47,71.26,72.45,190285
2025-07-13,72.5,73.14,72.2,72.94,182350
2025-07-14,73.26,73.34,72.26,72.51,179266
2025-07-15,72.41,73.69,72.15,73.64,172690
2025-07-16,74.01,74.12,72.98,73.34,190760
2025-07-17,73.09,73.15,72.83,73.09,183263
2025-07-18,72.8,74.61,72.67,74.54,192271
2025-07-19,74.36,74.75,74.1,74.58,225481
2025-07-20,74.73,74.87,73.88,73.96,187542
2025-07-21,73.96,74.56,73.62,74.3,231920
2025-07-22,74.18,74.52,73.62,73.84,213471
2025-07-23,73.72,73.9,72.11,72.45,230295
2025-07-24,72.66,72.81,71.18,71.2,195657
2025-07-25,70.88,70.92,70.48,70.78,207324
